wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0xcf8649e011a80a3f294063a7237b12935f503b86,480,"800,1071,1568,2698,2705,2721,2729,2738,2752,2802,3034,3047,3051,3067,3116,3143,3270,3284,3288,3451,3453,3460,3466,3474,3478,3483,3486,3678,3680,3681,3685,3686,3691,3733,3790,3845,3856,3865,3933,3938,3972,3976,3977,4012,4018,4030,4042,4066,4068,4071,4163,4177,4201,4204,4219,4230,4303,4305,4306,4307,4308,4336,4382,4402,4409,4441,4462,4471,4501,4534,4539,4540,4559,4573,4608,4680,4681,4682,4687,4709,4715,4731,4732,4756,4777,4786,4794,4810,4812,4815,4819,4828,4854,4861,4880,4881,4902,4909,4924,4927,4941,4944,4948,4951,4965,5018,5030,5044,5056,5061,5070,5079,5106,5114,5115,5116,5118,5120,5122,5129,5130,5132,5146,5147,5151,5156,5160,5171,5174,5176,5177,5178,5188,5190,5191,5193,5196,5197,5198,5199,5200,5201,5202,5203,5204,5205,5206,5207,5208,5215,5221,5222,5228,5235,5245,5246,5256,5260,5284,5285,5286,5288,5290,5295,5300,5335,5517,5638,5664,5732,5736,5737,5758,5766,5770,5773,5816,5831,5887,6065,6090,6101,6103,6189,6301,6363,6368,6401,6404,6415,6418,6441,6442,6449,6453,6454,6456,6457,6458,6461,6466,6477,6480,6481,6482,6484,6485,6486,6491,6493,6494,6509,6513,6514,6519,6522,6523,6524,6528,6533,6536,6537,6538,6541,6543,6547,6551,6552,6553,6556,6563,6565,6566,6567,6574,6578,6579,6587,6593,6605,6606,6607,6608,6609,6614,6615,6617,6618,6619,6620,6622,6623,6624,6625,6626,6627,6628,6629,6632,6633,6638,6639,6640,6641,6642,6644,6648,6649,6653,6654,6658,6661,6667,6672,6680,6682,6683,6684,6693,6694,6695,6696,6705,6708,6709,6710,6711,6718,6719,6721,6725,6726,6727,6729,6730,6731,6733,6734,6744,6747,6749,6750,6754,6756,6758,6759,6771,6776,6783,6784,6785,6809,6816,6829,6830,6844,6845,6846,6881,6882,6884,6885,6907,6920,6950,6951,6963,6964,6971,6976,6977,6987,6988,6989,7010,7011,7019,7021,7022,7023,7024,7026,7034,7040,7045,7046,7047,7048,7054,7055,7064,7065,7074,7075,7076,7079,7080,7082,7083,7104,7113,7150,7151,7152,7159,7160,7249,7322,7463,7468,7471,7477,7480,7484,7491,7499,7504,7523,7541,7555,7562,7565,7571,7572,7573,7574,7577,7578,7585,7594,7595,7596,7602,7612,7626,7635,7636,7637,7638,7639,7644,7649,7665,7668,7675,7677,7678,7688,7703,7704,7720,7721,7728,7729,7730,7734,7742,7749,7753,7755,7766,7770,7772,7778,7779,7780,7783,7790,7797,7818,7842,7847,7854,7860,7893,7896,7897,7908,7909,7912,7914,7916,7930,7942,7943,7948,7949,7951,7955,7968,7972,7982,7984,7987,7988,7998,7999,8000,8005,8027,8041,8044,8054,8080,8086,8087,8138,8143,8160,8161,8162,8163,8176,8186,8213,8214,8428,8429,8430,8431",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x659a27e1b81a2b3f8e7dbfc1ba312b6c672cb2e4,459,"5413,5423,5424,5435,5436,5439,5440,5442,5447,5456,5469,5486,5617,5670,5705,5708,5710,5712,5713,5733,5784,5833,5886,5892,5896,5897,5899,5901,5902,6013,6028,6032,6033,6109,6156,6237,6238,6239,6240,6242,6243,6244,6245,6251,6252,6275,6276,6277,6280,6281,6282,6284,6285,6293,6298,6321,6327,6335,6355,6356,6357,6359,6360,6361,6376,6377,6387,6393,6394,6395,6396,6397,6402,6408,6409,6410,6411,6413,6414,6416,6417,6419,6420,6421,6422,6423,6424,6426,6430,6431,6432,6433,6435,6443,6446,6447,6451,6452,6459,6460,6462,6463,6465,6475,6476,6478,6479,6487,6488,6489,6492,6503,6505,6507,6510,6511,6512,6515,6518,6520,6525,6530,6534,6539,6540,6542,6545,6546,6549,6550,6557,6558,6559,6561,6562,6564,6568,6569,6575,6576,6577,6580,6581,6583,6586,6597,6604,6611,6612,6616,6631,6643,6645,6646,6647,6655,6657,6665,6677,6678,6679,6686,6691,6699,6700,6701,6706,6707,6712,6713,6720,6722,6732,6740,6752,6753,6762,6763,6768,6773,6779,6780,6781,6792,6793,6794,6795,6799,6800,6806,6807,6808,6813,6814,6825,6826,6831,6837,6838,6849,6850,6851,6860,6861,6863,6864,6865,6876,6877,6886,6887,6896,6903,6906,6917,6918,6928,6929,6935,6937,6946,6947,6965,6966,6967,6970,6972,6973,6974,6975,6979,6980,6981,6983,6984,6985,6986,6993,6994,6996,6997,6999,7002,7003,7006,7008,7012,7015,7016,7029,7031,7032,7038,7039,7043,7049,7050,7051,7053,7056,7062,7063,7067,7071,7073,7078,7081,7090,7097,7099,7100,7102,7108,7110,7112,7114,7116,7119,7122,7131,7133,7135,7137,7138,7143,7147,7154,7156,7161,7164,7167,7172,7173,7177,7179,7180,7182,7183,7187,7188,7191,7199,7203,7204,7205,7206,7207,7211,7212,7219,7222,7224,7228,7229,7233,7240,7246,7248,7252,7253,7255,7256,7257,7259,7266,7269,7270,7277,7278,7279,7289,7290,7292,7294,7302,7305,7312,7313,7315,7317,7321,7324,7332,7333,7336,7337,7338,7339,7340,7342,7348,7349,7360,7369,7380,7383,7400,7401,7404,7419,7431,7433,7435,7443,7446,7448,7452,7454,7459,7464,7466,7469,7472,7475,7478,7482,7485,7492,7494,7500,7502,7506,7508,7511,7513,7529,7531,7533,7550,7558,7561,7563,7569,7575,7582,7590,7592,7597,7600,7603,7605,7617,7619,7621,7622,7624,7627,7632,7634,7640,7643,7646,7653,7654,7663,7666,7692,7697,7701,7708,7716,7718,7722,7724,7731,7736,7739,7746,7751,7760,7762,7784,7789,7800,7802,7805,7806,7819,7823,7825,7832,7835,7841,7844,7845,7846,7848,7856,7864,7869,7887,7888,7894,7905,7917,7920,7925,7929,7931",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x000000000f4141775240685a4e005ed819846840,420,"425,447,548,588,640,685,869,1079,1100,1117,1427,1431,1435,1444,1518,1560,1565,1577,1625,1663,1675,1734,1788,1805,1808,1975,1983,1989,2063,2258,2326,2328,2329,2335,2336,2339,2377,2530,2567,2588,2599,2630,2771,2772,2786,2787,2793,2921,2957,3044,3068,3069,3082,3083,3084,3090,3095,3129,3163,3164,3303,3308,3381,3384,3464,3465,3776,3779,3780,3841,3879,3880,3918,3920,3921,4104,4105,4106,4107,4123,4173,4191,4238,4262,4263,4264,4265,4269,4270,4298,4300,4314,4315,4319,4323,4329,4330,4337,4362,4366,4375,4376,4377,4380,4385,4386,4397,4400,4404,4405,4416,4417,4422,4435,4438,4440,4450,4451,4452,4453,4454,4463,4465,4476,4477,4478,4483,4487,4507,4527,4541,4548,4549,4568,4569,4595,4607,4689,4698,4699,4701,4729,4734,4755,4779,4780,4836,4838,4853,4859,4873,4883,4886,4887,4888,4893,4894,4912,4913,4921,4926,4936,4942,4952,4954,4955,4958,4967,4968,4969,4974,4976,4977,4979,4980,4996,4997,4998,5008,5009,5011,5033,5034,5036,5048,5050,5062,5063,5068,5077,5080,5082,5083,5084,5085,5086,5087,5088,5089,5090,5091,5093,5094,5095,5096,5097,5098,5101,5102,5103,5104,5119,5121,5123,5125,5141,5143,5145,5152,5154,5158,5161,5162,5164,5167,5185,5212,5217,5220,5224,5226,5227,5232,5233,5241,5251,5263,5287,5289,5291,5299,5310,5311,5313,5314,5328,5329,5332,5334,5337,5339,5340,5348,5360,5361,5363,5370,5371,5372,5375,5378,5379,5383,5387,5390,5391,5392,5398,5399,5406,5414,5415,5426,5449,5450,5467,5468,5488,5616,5618,5619,5622,5623,5625,5626,5627,5628,5633,5634,5636,5639,5640,5641,5646,5647,5659,5660,5671,5672,5674,5675,5676,5678,5680,5681,5682,5684,5739,5740,5745,5750,5751,5757,5813,5817,5818,5851,5900,5931,5932,5934,5938,5939,5951,6025,6026,6027,6075,6077,6079,6088,6089,6115,6230,6262,6365,6371,6372,6373,6427,6470,6741,6746,6748,6765,6789,6802,6810,6812,6821,6823,6832,6833,6835,6836,6841,6843,6848,6854,6855,6862,6867,6868,6871,6872,6874,6875,6883,6890,6891,6894,6895,6897,6901,6902,6904,6905,6908,6909,6910,6912,6913,6914,6915,6916,6919,6921,6922,6923,6924,6926,6931,6932,6933,6938,6940,6942,7093,7120,7144,7145,7148,7162,7163,7175,7184,7185,7197,7215,7217,7220,7225,7226,7236,7300,7301,7307,7308,7327,7346",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x04c20480558912358179eb2739a21075eb89a720,367,"5942,5943,5944,5945,6031,6068,6108,6155,6170,6234,6235,6236,6253,6254,6256,6273,6274,6294,6299,6554,6555,6570,6582,6613,6634,6666,6673,6687,6690,6697,6698,6714,6751,6777,6778,6790,6791,6797,6798,6803,6804,6805,6815,6828,6839,6840,6858,6859,6869,6879,6880,6888,6889,6899,6900,6925,6927,6930,6934,6936,6944,6945,6949,6952,6968,6969,7000,7001,7007,7009,7013,7014,7017,7018,7028,7030,7033,7037,7042,7044,7052,7057,7058,7059,7060,7061,7068,7069,7070,7072,7077,7084,7085,7086,7088,7089,7096,7098,7101,7103,7109,7111,7115,7117,7118,7121,7123,7130,7132,7134,7136,7139,7141,7142,7146,7153,7155,7165,7168,7169,7174,7176,7181,7186,7189,7190,7192,7193,7194,7195,7196,7198,7200,7201,7208,7209,7210,7213,7214,7218,7221,7223,7227,7230,7234,7239,7245,7247,7254,7258,7263,7267,7268,7272,7274,7276,7288,7291,7293,7295,7303,7304,7306,7314,7316,7318,7323,7328,7331,7334,7335,7341,7347,7359,7379,7384,7402,7403,7418,7436,7444,7447,7449,7453,7455,7460,7465,7467,7470,7473,7476,7479,7481,7486,7493,7495,7501,7503,7505,7509,7512,7514,7516,7517,7526,7530,7532,7534,7549,7559,7560,7564,7570,7576,7583,7584,7588,7589,7591,7598,7599,7604,7616,7618,7620,7623,7625,7631,7633,7641,7642,7647,7652,7655,7664,7667,7693,7698,7700,7709,7717,7719,7723,7725,7732,7737,7738,7748,7750,7759,7769,7785,7788,7799,7801,7804,7807,7822,7826,7833,7834,7840,7843,7855,7857,7858,7863,7867,7870,7874,7875,7877,7878,7880,7885,7889,7890,7895,7898,7899,7904,7910,7913,7921,7924,7928,7932,7944,7947,7953,7956,7961,7963,7965,7970,7971,7977,7979,7985,7994,8001,8002,8006,8009,8011,8013,8014,8018,8023,8026,8030,8035,8036,8038,8040,8042,8043,8048,8049,8050,8051,8053,8056,8057,8061,8062,8066,8067,8068,8070,8071,8073,8075,8079,8081,8082,8088,8089,8091,8092,8093,8094,8097,8098,8099,8102,8103,8104,8105,8106,8107,8108,8109,8118,8123,8125,8126,8129,8133,8145,8164,8165,8167,8168,8169,8177,8193",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x76138db161f34e21ad95f6a20408f02c25792501,211,"4576,4769,4771,4868,4904,4981,4983,4984,5007,5013,5014,5039,5041,5045,5053,5054,5065,5066,5081,5112,5153,5155,5159,5163,5168,5183,5184,5192,5210,5213,5214,5229,5250,5252,5255,5257,5258,5259,5305,5315,5316,5357,5358,5362,5364,5365,5366,5367,5368,5369,5380,5386,5388,5389,5394,5395,5396,5400,5417,5418,5453,5454,5466,5613,5620,5629,5630,5642,5643,5648,5649,5658,5661,5673,5677,5679,5686,5687,5734,5735,5743,5744,5748,5754,5755,5756,5777,5778,5780,5783,5785,5787,5790,5791,5798,5799,5801,5805,5806,5865,5870,5871,5873,5880,5881,5884,5890,5906,5910,5917,5918,5935,5936,5940,5988,5989,5990,5992,5994,5995,6006,6007,6020,6021,6023,6024,6034,6035,6036,6040,6043,6055,6056,6060,6063,6064,6093,6094,6095,6104,6106,6126,6127,6145,6173,6192,7670,7674,7686,7690,7715,7741,7752,7754,7757,7767,7771,7786,7795,7796,7798,7820,7824,7849,7852,7859,7865,7868,7871,7873,7876,7886,7891,7900,7906,7907,7915,7922,7923,7927,7952,7964,7966,7967,7969,7973,7978,7989,8004,8008,8015,8019,8025,8028,8033,8037,8045,8052,8059,8065,8069,8072,8083,8084,8085,8090,8096,8100,8101,8116,8134",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x82831e9565cb574375596efc090da465283e22a4,160,"40,61,62,65,69,127,147,152,180,230,316,562,597,632,684,836,874,928,940,949,1091,1179,1196,1331,1382,1443,1455,1655,1855,1862,1864,1931,1963,1965,1976,1984,1997,2004,2066,2073,2077,2107,2120,2143,2147,2148,2200,2207,2218,2303,2414,2420,2456,2483,2502,2535,2605,2613,2668,2675,2694,2837,2892,2906,2918,2919,2922,2924,2925,2932,2945,2961,2962,2963,2979,2994,2998,3001,3002,3008,3022,3045,3087,3098,3117,3234,3545,3566,3623,3648,3661,3716,3720,3849,3910,3924,3928,3956,3964,4019,4118,4127,4130,4131,4132,4168,4196,4212,4293,4392,4401,4498,4505,4542,4575,4623,4659,4759,4784,4892,5046,5293,5317,5318,5458,5459,5489,5947,5980,6037,6080,6158,6175,6317,6332,6352,6438,6440,6468,6529,6591,6764,6817,7140,7287,7370,7408,7497,7520,7537,7645,7763,7817,7992,7996,8144,8170,8192,8220,8221",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0xccddf5d6c749c130e0db9e61027cbd036ba9b11e,108,"285,298,325,455,519,1759,1776,1838,1876,2314,2474,2479,2594,2607,2611,2616,2719,2727,2741,2818,2820,2822,2823,2828,2829,2843,2858,2864,2898,2946,2965,2974,3009,3012,3025,3029,3113,3123,3127,3128,3130,3133,3135,3161,3191,3201,3202,3300,3304,3306,3307,3309,3319,3348,3369,3383,3387,3402,3404,3407,3426,3496,3498,3522,3622,3645,4117,4119,4186,4187,4189,4190,4252,4253,4273,4278,4281,4288,4289,4325,4406,4411,4431,4434,4437,4442,4461,4474,4508,4511,4578,5124,5126,5127,5128,5142,5144,5189,5194,5195,5218,5223,5298,5301,6220,6232,8363,8398",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0xfe7364a43f1fbe03f7bef8980a55e2ad3bfb147a,98,"8462,8463,8464,8465,8466,8467,8468,8469,8470,8471,8472,8474,8475,8476,8478,8479,8480,8481,8482,8483,8484,8485,8486,8487,8488,8490,8491,8492,8493,8526,8530,8539,8543,8544,8545,8546,8547,8548,8551,8552,8553,8555,8556,8557,8558,8559,8560,8561,8564,8565,8566,8567,8568,8569,8571,8572,8574,8576,8577,8579,8580,8581,8582,8583,8584,8585,8586,8587,8588,8589,8590,8591,8592,8593,8594,8595,8596,8597,8598,8599,8600,8601,8602,8603,8607,8608,8609,8610,8611,8612,8613,8614,8615,8616,8620,8621,8626,8627",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0x93beca36d5bcdc7be0f9ca38b1b5f5f5292aa859,91,"536,767,1148,2603,2606,2756,3702,3717,3728,3732,3742,3788,3836,3851,3858,3884,3929,3934,3936,3941,4064,4067,4092,4094,4096,4098,4101,4148,4150,4151,4159,4165,4172,4178,4179,4202,4203,4224,4231,4232,4274,4277,4279,4286,4332,4334,4346,4347,4384,4387,4390,4432,4433,4436,4443,4444,4445,4449,4460,4464,4466,4470,4472,4484,4488,4503,4517,4522,4526,4531,4713,4714,4753,4754,4761,4788,4790,4807,4864,4891,4895,4928,4950,5134,5173,5374,5476,5611,5657,5987,6295",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
0xbb010a8abf8d4b334661ac825bbd4ca854de5d62,79,"175,212,236,243,266,270,315,347,399,446,464,487,531,552,653,1088,1145,1907,1912,1928,1954,2072,2295,2304,2305,2308,2341,2345,2419,2425,2523,2552,2566,2576,2577,2618,2619,2622,2624,2626,2702,2776,2778,2845,2908,2928,2934,3386,3852,3948,4076,4388,4673,4721,4884,4929,4957,4964,4972,5019,5092,5139,5170,5181,5230,5296,5354,5937,6019,6119,6132,6288,6296,6297,6351,6497,7412,7413,7414",0x0b012055f770ae7bb7a8303968a7fb6088a2296e,62514232,2026-08-07T00:16:08Z
