wallet,nft_count,token_ids,contract,snapshot_time
0x8902f0441efa2cff664626c4f31eecc3b2953725,353,"998,999,1000,1001,1002,1003,1004,1005,1006,1007,4159,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,3588,3295,2943,1951,2405,3698,344,383,2918,2873,2237,752,3215,3214,3102,3101,3100,3057,3056,3055,3054,3053,3221,3051,3219,237,655,468,2984,2983,3222,2981,2980,2979,2978,2977,2976,2975,3223,2855,2854,2853,2852,2851,2850,2849,2848,2847,137,141,3824,3224,2715,2714,2713,2712,2711,2710,2709,2708,3685,599,2630,2629,2628,2627,2626,3225,1213,4149,1963,1047,2525,533,3544,1570,755,520,3378,2536,2535,3226,2533,2532,2531,2530,2529,2528,2527,1167,1180,234,148,988,984,3406,3401,3397,402,399,398,375,3393,2317,362,2294,2423,3029,2421,2420,2419,2418,371,384,382,2327,348,386,395,687,645,528,394,2346,2345,2344,2343,2342,2341,2340,2339,3377,2263,2262,2261,2260,2654,2258,243,1467,1871,2214,685,403,2180,2179,2178,2177,2176,2175,2174,872,2084,762,2134,1857,1896,1779,4094,1062,985,2101,543,2099,2098,2097,2096,2095,2094,2009,2008,1985,1984,1983,1982,4084,4083,4082,4081,4080,1930,1929,1928,1927,1926,1925,1924,1923,1922,3974,3973,3217,3961,3960,3959,3958,1811,1810,1809,3879,3218,3877,3823,3818,3817,3816,3784,3772,3771,3770,1561,1560,1559,1558,1557,1556,1555,4096,1553,1552,1551,2158,1549,1548,1547,1546,1545,1544,1487,1486,1485,3404,1483,1482,1481,1480,4147,1478,1477,1476,1475,1474,1473,1472,1471,4148,1469,1468,3975,1466,1465,1464,1463,1146,1145,1144,1143,4150,1141,1140,1139,1138,1137,1136,1135,4152,1133,1132,1131,1130,1129,1128,1127,1126,1125,4153,1123,1122,1121,1120,1119,1118,1117,1116,4154,1114,1113,1112,1111,1110,1109,1108,1107,4155,4160,1104,1103,1102,1101,1100,1099,4156,1097,1046,1045,1044,1043,1042,1041,1040,1039,1038,1037,4157,1035,1034,1033,1032,1031,1030,1029,1028,1027,1026,1025,1024,1023,3216,997",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x567e4acf7bdf60429b2210f6d34a087b07e2d656,321,"1910,3403,3454,3607,2518,3168,2283,886,2020,884,3227,1583,2777,2292,3413,3855,1531,2864,1860,2733,2206,2076,1856,2942,1959,3548,2212,4098,3605,3692,1156,2123,3108,2232,2899,2046,2430,2305,2231,3067,3611,1869,2200,3120,1955,2411,2149,2400,2336,2249,797,3066,3857,1687,3854,854,1521,3421,2477,1168,2316,1815,2242,2350,3686,2662,3305,2753,2558,2082,3602,2567,3417,2068,2827,2025,1542,2078,2690,1332,3185,1537,2882,1540,1238,1536,3402,1241,2190,653,2999,4165,2617,686,1838,3011,2357,2464,1496,2872,1872,3293,1498,1912,2921,1527,793,2077,1529,3451,1333,1520,396,2270,1535,2618,892,794,800,74,888,190,3202,1523,1933,2803,78,692,889,796,2707,1501,1237,1048,1807,799,1171,781,2538,1539,3610,1532,246,778,2026,885,1525,2396,893,1495,786,1240,1528,785,795,776,656,3681,3669,181,3671,1986,3982,3981,1650,32,72,54,35,48,2041,4070,1642,40,34,61,3670,37,2462,176,1672,3680,66,39,29,173,2064,2393,55,2288,2199,179,36,64,2611,177,3620,56,2837,4065,104,33,38,25,60,26,3308,3691,27,49,31,1497,3147,30,47,131,51,63,43,2239,3815,2161,2645,3131,2939,118,2139,3821,45,2867,59,46,119,170,52,53,3270,57,41,58,67,637,44,115,65,4071,50,62,3272,97,105,166,2463,2138,68,182,28,3682,2182,2996,42,1638,2296,70,421,69,2125,780,355,779,788,2010,3141,1773,1049,1178,3804,3673,499,2932,2113,2163,890,2337,342,426,891,3032,495,887,2845,782,2265,369,1499,425,2888,777,3687,1239,2188,2417,775,346,663,2183,2553,350,3612,2170,378,798,1526,784,3976,882,2380,22,409,73,4133",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x001d4b4e80ec2ca3707d75cb417ce9a0e387cff2,174,"1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,3332,3331,3330,3329,3318,3317,3316,3315,3264,3263,3262,3261,3248,3247,3246,3234,3233,3232,3231,3230,3229,3228,3178,3177,3176,3175,3150,3149,3148,3140,3139,3138,3122,3026,3025,3024,3023,2954,2953,2952,2951,2950,2926,2925,2917,2916,2912,2911,2910,2758,2757,2756,2688,2687,2660,2282,2604,2603,2590,2589,2576,2562,2542,2541,2540,2539,2436,2435,2434,2408,2407,2406,2267,2252,2245,2244,2243,2221,2220,2195,2172,2155,2146,2142,2124,2116,2111,2110,2109,2108,2107,2043,2039,2011,1997,1980,1967,1954,1939,1932,1931,1902,1901,1900,1899,1819,1798,1711,1339,1329,1328,1327,1326,1325,1317,1316,1315,1314,1313,1312,1311,1310,1309,1308,1301,1300,1299,1298,1297,1296,1295,1294,1293,1292,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1252",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,157,"3672,2937,2826,1822,1639,2784,2842,2681,2863,1906,581,114,130,3626,1640,1682,2247,2680,3204,1685,1837,164,107,123,108,2167,2594,2461,129,2593,117,1646,1771,580,2938,2897,4064,2877,3037,577,3978,3980,2162,2595,672,2596,1883,1675,3969,2869,2090,99,4063,2879,3983,4068,616,103,3145,1821,3338,2051,1836,2073,168,102,3205,1643,2213,1641,165,2878,1962,2821,112,1647,2838,124,106,4072,4067,3203,4069,2634,2865,559,1649,2940,169,1637,2836,2834,1644,1659,101,4066,560,2870,116,1988,1656,2229,2394,174,3155,2351,3683,132,167,1987,111,71,2868,1645,3677,2226,2898,1670,1658,2145,180,2012,1635,122,3207,2,1,564,0,178,3984,3649,2840,171,3337,3306,3245,558,3061,582,585,584,583,2892,2800,2165,4167,2764,4099,561,3237,563,3186,576,2920,578,579",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x1c8a7198231a9a4371954fbb0036455acf13b500,76,"2717,2519,2762,2970,3209,3309,184,4166,2437,2745,3200,2843,3325,1591,2749,783,2913,2900,188,3443,3826,2300,493,3000,3111,1179,2466,3121,2641,3152,2600,2788,3083,3046,2704,2825,1243,2667,3210,660,1713,2736,2476,1870,3654,1908,8,2002,1806,756,367,2225,3242,3030,2545,661,3289,239,2602,3180,2568,1191,2883,883,3985,3271,110,353,763,147,2819,1516,424,643,3010,518",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x5051aed4b4c910df04a53bc0a1e38d8fd34c22d1,75,"2763,2724,2689,2663,2620,2445,2473,2495,2526,2585,2377,615,2347,2303,2362,1586,1971,4102,2186,2250,586,681,3008,617,674,3125,554,3009,2276,640,618,619,620,621,622,623,624,625,632,633,634,635,636,3062,2106,639,3690,641,642,1770,673,4168,675,676,677,678,679,680,3637,3638,3639,3661,3662,3663,3664,3665,3807,1828,1891,1905,1944,2103,2104,2105,2143",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x6e519808c59fbd5fa3d4dd5bce25b572424d0070,56,"921,977,978,979,980,981,982,1053,1054,1055,1056,1057,1058,1082,1083,1084,1085,1086,1087,1095,1096,217,218,219,3273,3199,3174,3073,2997,2973,2862,2861,2860,314,2647,2637,2517,315,2457,2456,2320,2268,2062,1859,3552,3547,3543,3456,3381,2063,2230,313,255,254,253,920",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x9d3884dcd305df5c7f00efc38d93d5e469859719,52,"2989,2990,2653,1323,1208,1322,1321,1320,1319,1215,1214,1205,2731,2309,1202,2307,2507,2312,2492,2785,2311,1210,1211,1888,241,1173,1172,235,3314,3292,3268,3267,3266,3265,3198,3197,3196,4131,3137,3135,3134,3133,3081,3080,3079,3078,3077,3076,3016,2993,2992,2991",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0x4b4735baab40a2c897f671d0ec8f6f90c542cfbc,48,"1562,1563,1564,1566,1567,1568,1569,1936,1989,2027,2052,2085,2117,4100,4143,2204,2205,2238,2269,2302,2335,2374,2447,2500,4142,4141,4140,4139,4138,4144,4136,3319,4135,3288,3286,3276,3179,3119,3104,3103,3099,2949,2914,2886,2824,2823,2747,2725",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
0xc8b806eaf62dbed134ee918f8beb9244182eed45,46,"1691,2560,992,667,3356,3653,3697,3997,4058,990,654,758,3609,2070,4128,2655,574,924,1244,1530,2522,1588,2844,1970,3096,3405,541,2493,2729,1920,3031,4,5,6,9,11,12,13,14,15,16,17,18,19,20,21",0x870fb39328958d9d363ddb88c2e6a4a32a5bef11,2026-08-07T14:22:38Z
