wallet,nft_count,token_ids,contract,snapshot_time
0x8f1c648d3e2f9f8dec269397f288da5c2a73c691,500,"3600,1,3599,3,4,5,6,7,99,3601,10,11,12,13,14,15,16,3665,18,19,20,21,22,23,24,25,26,27,28,29,30,149,32,3663,3662,152,3458,3661,3498,3497,3496,1488,1487,1486,3485,3484,1489,3483,3457,1334,50,51,3660,53,54,3659,3453,57,3372,3451,3658,3657,62,63,3656,65,3446,67,68,3445,1485,3482,3481,3480,3479,3478,3477,3476,3475,3474,80,81,82,83,84,85,86,87,3370,3421,90,91,92,93,94,95,96,97,98,3556,101,3555,3554,3553,3406,106,107,108,3536,3639,111,3638,113,114,115,1490,3664,118,119,3655,121,3442,123,358,3535,414,3534,3637,129,130,131,132,3368,134,135,136,137,1689,139,140,141,142,143,3654,145,3652,3651,3650,3649,3648,3647,3646,3645,3644,3643,3642,3641,3640,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,3602,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,400,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,3636,3552,3635,3551,3532,359,360,1538,362,1719,3634,365,366,3531,3530,369,370,3380,884,3415,3633,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,3376,395,396,3529,398,3632,3631,401,3403,3630,404,405,3527,3528,3629,3526,3401,3525,3400,3399,3524,415,3398,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,3397,439,440,1260,442,3395,368,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,3394,3523,3522,3628,3626,476,477,478,479,480,3625,3379,3624,3386,3385,3409,3410,3411,3413,3412,3384,492,3621,3388,3389,496,497,498,499",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,127,"363,125,1564,1266,127,103,1298,109,1296,1665,1664,1663,1662,1661,1660,1659,1658,1657,49,1288,1284,338,1441,1912,1292,444,124,100,1926,1254,866,1746,1979,138,1563,1273,1797,1272,1792,1565,409,406,407,397,642,641,411,472,1349,1246,1734,473,1694,1355,126,1261,1716,441,1720,1560,1718,1549,1268,1559,1244,1566,1540,361,1725,1728,643,640,639,648,1358,1545,635,636,637,638,1267,1291,632,1754,1256,1544,373,1751,489,490,488,487,486,1345,1730,105,1252,1364,402,1353,410,412,413,416,438,1688,443,471,1352,1357,630,629,495,494,540,484,485,491,633,1258,1732,371,482,1250,1294,394,1293",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x1b6ced2c1be7e3c1f188f8843a7b4b538fdae26a,56,"110,112,128,354,356,1474,374,399,1476,403,408,474,1342,475,481,483,1337,1328,493,645,646,1251,1295,1320,1322,1339,1323,1341,1326,1330,1332,1333,1473,1335,1475,1338,1477,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x6ea81f61ae869fd116a50a271eb3663024299889,20,"38,39,40,41,42,43,44,45,46,47,70,71,72,73,74,75,76,77,78,79",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0xe747e5f8691257141b1f4568e65a6fa122ecc299,11,"1496,1518,1512,1505,1503,1506,1500,1864,1510,1513,1504",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x54958e45006634af09a2a937b3aaf93f8e6eadcd,11,"116,1656,1793,1798,1794,1747,1551,1789,1557,1546,1753",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x76a716df595846f024a1db0edee789a921a579fd,9,"2482,2481,2491,2492,2494,2495,2498,2499,2501",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0xcf48a59efeb216c6ab1a8b48e74c9beaf448143b,5,"17,976,934,941,1172",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0xd9941edfe4549bdd784d6c65e527a9c2e8b43bfa,2,"1672,1707",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x2f039b6884efbaaa35edc29de971113c3735694c,2,"8,9",0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
0x76e8d68189f5076db34d984fc895e59fd2dd5e5d,1,1552,0x58ad22348216bdb0a3a544ad365ee82187d0e8aa,2026-08-07T14:22:38Z
