wallet,nft_count
0x8f1c648d3e2f9f8dec269397f288da5c2a73c691,3422
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,127
0x1b6ced2c1be7e3c1f188f8843a7b4b538fdae26a,56
0x6ea81f61ae869fd116a50a271eb3663024299889,20
0xe747e5f8691257141b1f4568e65a6fa122ecc299,11
0x54958e45006634af09a2a937b3aaf93f8e6eadcd,11
0x76a716df595846f024a1db0edee789a921a579fd,9
0xcf48a59efeb216c6ab1a8b48e74c9beaf448143b,5
0xd9941edfe4549bdd784d6c65e527a9c2e8b43bfa,2
0x2f039b6884efbaaa35edc29de971113c3735694c,2
0x76e8d68189f5076db34d984fc895e59fd2dd5e5d,1
