wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0x902774695d42fe13aae21721c408fc0c1f15cf73,377,"10,82,86,87,100,138,140,143,144,180,194,231,241,242,251,279,313,387,452,524,569,579,636,676,725,773,813,834,850,856,925,966,977,982,996,1006,1018,1038,1065,1067,1076,1079,1090,1159,1170,1173,1211,1226,1241,1247,1294,1326,1401,1487,1501,1505,1515,1535,1602,1698,1752,1774,1785,1845,1912,1963,1971,1987,1988,1995,1999,2045,2089,2096,2103,2115,2119,2136,2160,2167,2230,2234,2235,2248,2251,2291,2345,2365,2394,2400,2415,2429,2442,2492,2513,2532,2561,2564,2586,2590,2608,2618,2632,2636,2738,2753,2757,2798,2841,2888,2944,2958,2971,3023,3034,3038,3057,3080,3085,3089,3113,3144,3173,3179,3233,3268,3282,3324,3361,3363,3367,3373,3397,3451,3463,3498,3512,3518,3678,3701,3712,3714,3865,3904,3988,3991,4050,4101,4113,4143,4156,4193,4219,4244,4273,4285,4323,4337,4370,4380,4384,4477,4491,4505,4517,4521,4591,4593,4651,4670,4679,4696,4726,4731,4767,4771,4785,4809,4835,4838,4871,4950,5007,5012,5101,5143,5153,5258,5277,5294,5330,5337,5417,5421,5433,5445,5453,5497,5533,5538,5543,5550,5600,5606,5644,5652,5680,5685,5686,5702,5711,5741,5785,5796,5799,5812,5860,5868,5928,5945,5980,5982,5989,6023,6059,6074,6089,6107,6169,6224,6249,6253,6261,6266,6271,6278,6290,6322,6339,6346,6382,6395,6401,6403,6466,6472,6483,6527,6587,6695,6747,6751,6753,6764,6811,6835,6845,6863,6876,6887,6921,6941,6984,7003,7030,7041,7049,7053,7174,7197,7203,7238,7295,7303,7350,7356,7358,7361,7370,7372,7407,7447,7488,7492,7510,7518,7519,7525,7535,7546,7603,7614,7635,7663,7808,7821,7837,7847,7915,7923,7989,7997,8030,8067,8083,8088,8109,8112,8116,8138,8144,8179,8221,8301,8358,8366,8390,8395,8400,8407,8445,8449,8506,8524,8575,8578,8585,8589,8605,8637,8641,8710,8722,8749,8798,8843,8857,8987,9004,9023,9089,9123,9137,9149,9154,9155,9159,9160,9203,9234,9310,9349,9406,9431,9433,9459,9489,9507,9558,9581,9600,9604,9640,9757,9772,9774,9778,9845,9862,9885,9897,9912,9922,9931,9932,9940,9989",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,84,"254,439,1061,1075,1234,1342,1427,1459,1511,2038,2042,2063,2088,2105,2676,2726,2885,3184,3326,3520,3604,3736,4137,4149,4381,4698,4878,4999,5025,5056,5136,5179,5188,5246,5489,5556,5645,5697,5921,6186,6200,6411,6427,6511,6583,6643,6711,6720,6859,6893,6901,6908,6925,6950,6970,7088,7128,7207,7216,7318,7367,7425,7606,7664,7884,8071,8099,8306,8489,8586,8734,8800,9084,9091,9114,9287,9329,9464,9548,9654,9736,9777,9800,9907",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0x54a62bb1953573d6cfb3468aebf4c1e5320e26ad,63,"315,584,587,1022,1161,1164,1368,1422,1447,1523,1817,2356,2698,2984,3537,3538,3608,3628,3847,3885,3899,3976,4010,4191,4205,4461,4549,4674,4691,4910,5079,5365,5448,5654,5826,6015,6124,6227,6238,6543,6934,6938,6981,7048,7082,7202,7393,7600,7601,8252,8342,8510,8831,8884,8972,9236,9553,9606,9795,9852,9866,9882,9936",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,51,"114,166,175,248,273,785,872,980,994,1224,1286,1841,2148,2255,2320,2639,2789,2942,3378,3562,3634,3674,3791,3913,4756,5229,5285,5931,5965,6092,6160,6305,6813,7044,7086,7271,7334,7403,7450,7538,7545,8038,8816,8990,9049,9132,9235,9335,9361,9786,9851",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0x567e4acf7bdf60429b2210f6d34a087b07e2d656,32,"651,719,864,1568,1786,2467,2669,3002,3405,3535,3587,4109,4960,5041,5363,5540,6215,6323,6436,6514,6553,6674,7107,7625,7670,8391,8415,8419,8636,8688,8900,9432",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0xc271fa9b1afb3b9d4dd0e5eeaba92c97ba3e2b1e,27,"192,392,521,835,1200,1333,1644,1734,1958,2582,3269,3768,4098,4350,4355,6742,6762,7499,7607,7680,7694,8025,8117,8325,9105,9313,9700",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,27,"472,623,1403,1895,2149,2822,3541,3593,4385,4428,5189,5730,5872,5952,6302,6577,6646,6972,7046,7591,7596,7746,8274,8275,8526,9585,9950",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0x53270d44eee663e509f0b715525703b12c353e30,23,"30,95,462,515,679,1606,1630,1941,1956,2013,3155,3597,4158,4737,4938,5209,5364,5451,7212,7766,8164,8498,9705",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0x2c3311bbf93300a199eb7ae6777ab24fc651e946,17,"344,1675,1761,2987,3344,3395,3629,5341,5583,6244,6594,7568,7716,7875,9458,9575,9996",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
0xa36f7566e457a9d9a9b1fb6b392ac62bdca8da49,16,"352,409,1965,3802,4407,4509,5057,5129,6157,7066,7155,8300,8946,9214,9275,9819",0x58f2fea3d66025cdedbc37b5bcd93647d76d7325,62514232,2026-08-07T00:16:08Z
