wallet,nft_count,token_ids,contract,snapshot_time
0x000000000000000000000000000000000000dead,500,"6449,9818,6455,624,643,657,665,1960,2334,2803,3401,3461,3637,4273,4299,4300,4406,5794,7984,8358,9281,3540,3550,9541,8730,8733,8757,1795,3524,4509,5768,8167,8182,8735,8740,8813,1789,2275,2285,2301,2336,2511,2807,3441,3635,4999,5033,5795,8299,8656,9670,9046,9092,9689,580,764,1091,2710,3272,3273,3280,3295,3299,5755,6496,6497,799,886,946,1690,8737,9869,655,650,627,6453,9823,6452,1721,1773,2008,2245,2246,2248,7918,7926,8359,638,3489,9471,858,857,856,3677,3307,67,7922,8360,7921,441,1632,1669,3475,3490,3615,4556,6922,8048,8432,8723,8726,8729,8731,8756,8771,9282,9902,4034,4162,4297,7667,5598,3086,5692,5764,8759,3357,8443,306,4641,3893,3292,3406,3675,9893,1700,1862,1879,2812,5029,8246,421,480,3319,3043,3045,3047,3083,2414,2006,5671,1928,1922,2007,2081,5720,1974,5057,8540,8651,9637,9639,8457,6880,6735,474,477,513,515,699,1480,1488,1535,1573,1584,1606,1698,1853,2005,2244,2465,2946,3364,3369,3404,3407,3408,3409,3415,3421,3425,3428,3431,3444,3459,3467,3468,3473,3479,3483,3485,3488,3500,3678,3681,3682,3890,4511,4996,5079,5098,5284,5676,5679,5682,5686,5698,5703,5704,5732,5741,5783,6017,6059,6427,6432,6433,6439,6460,6720,6726,6729,6731,6736,6739,6889,6896,6923,6929,6995,7013,7198,7522,7666,7669,7671,7681,7686,7920,7980,7982,8025,8028,8030,8032,8039,8042,8045,8046,8049,8052,8053,8057,8058,5296,5297,5298,5299,5300,5301,5302,5303,5304,5305,5306,5307,5308,5309,5310,5311,5312,5316,5317,5318,5324,5325,5326,5327,5328,5330,5335,5339,5340,5341,5342,5343,5344,5350,5355,5356,5357,5360,5361,5362,5364,5367,5368,5369,5370,5261,9029,9033,9410,9043,8454,8060,8159,8165,8169,8174,8175,8274,8278,8282,8421,8431,8487,8528,8687,8725,8738,8743,8744,8745,8747,8765,8767,8846,8868,8869,9042,9204,9275,9412,9484,9516,9529,9840,9842,9845,9871,9873,9876,9877,9881,9886,9890,9891,9892,9903,9022,9023,9028,1654,3360,8837,3327,8079,9382,8239,8062,3304,2527,3391,6721,8267,9297,9875,636,1029,2032,1877,7714,7985,5091,2601,6174,6195,6202,6204,9359,9363,9365,4967,4973,4972,4971,4970,4969,4975,4976,4974,4977,5002,5003,5008,5004,5010,5011,5012,5006,5007,5005,4968,180,4966,4965,5009,5637,5638,5639,5640,5641,5642,5643,5644,5645,5646,5647,5648,5649,5650,5651,5652,5653,5654,5655,5656,5657,5658,5659,5613,5614,5615,5616,5617,5618,5619,5620,5621,5622,5623,5624,5625,5626,5627,5628,5629,5630,5631,5632,5633,5634,5635,5636,5230,5231,5232,5233,5234,5235,5236,5237,5238,5239,5240,5241,5242,5243,5244,5245,5246,5247,5248,5249,5250,5251,5611,5612,6201,6203,3279,5206,5207,5208,5209,5210,5211,5212,5213",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x79105d9bb5850bdab32aecd0fe669dcdb33d79d6,500,"8486,1672,3457,3862,8436,8066,6290,1513,9064,9055,5688,8882,3953,4293,8344,4383,9828,9531,5782,4872,4857,3463,4873,9927,8897,4209,2395,3987,4280,8235,1583,8229,2299,3586,3588,597,105,928,929,930,931,933,937,938,9555,940,942,943,944,1512,2286,2918,6699,6874,8562,8818,9047,9985,5802,2379,1734,5696,2724,5716,5789,1751,1939,4008,3894,7630,3505,5778,2723,9082,8136,9364,5269,4675,4750,402,4768,5727,5597,9523,9396,5806,5840,5734,9463,939,460,5697,1497,8493,8858,1923,9859,9852,3365,3366,3426,9276,9747,8435,6891,8189,8248,9895,8561,8365,6416,1869,3906,4166,3302,3284,1520,354,406,419,1680,1757,1765,1766,1947,2998,4029,4401,5942,5953,6478,6862,6879,6893,7252,7516,8013,8061,8296,9882,518,519,787,871,873,874,875,890,891,893,1042,1043,1044,1045,1047,1048,1049,1050,1052,1053,1054,1055,1056,1057,1058,1059,1894,1895,1896,1897,1899,1900,1901,1902,1903,1904,2084,2085,2086,2087,2088,2090,2091,2092,2093,2094,2095,2096,2097,9216,9219,1096,1097,1098,1099,1100,1101,1102,1432,1433,1434,1435,9373,9374,9375,9376,9940,2895,2896,2897,2898,2899,2900,2901,2902,2903,2911,2912,2913,2914,2915,2916,2917,3655,5777,3321,2186,1893,8355,2022,7113,7117,7116,1942,1929,1941,1946,1949,1961,1977,1956,1958,1983,7111,7981,7983,49,52,53,56,60,4413,4639,4640,76,104,353,523,1083,1681,1748,1750,1754,1758,1759,1767,2217,2804,2935,3112,3125,3126,3435,3552,4678,4767,4848,5092,5711,6056,6265,6296,6483,6892,6894,6960,7528,8150,8153,8302,8420,8483,8494,8555,8591,9926,9825,9517,9391,9041,8646,8611,8608,8601,8598,8593,974,3353,6248,7251,6899,1802,2933,3621,4761,509,3536,3105,4584,319,8589,5762,5930,1679,14,1916,9558,9924,2863,3228,2433,3226,3225,3222,910,2236,912,913,4862,916,3469,3230,8893,972,1955,1993,1994,1995,1996,1997,1998,1999,2000,3129,3130,1924,3132,3133,3134,3135,3136,3137,3146,3147,3229,3149,3437,3153,3154,3155,3156,3157,3158,3234,3160,3162,1992,3207,970,3150,577,903,3169,894,573,901,898,3177,902,906,908,909,2350,3221,3220,3219,3218,3215,3214,3213,3212,3211,3210,3209,3208,9937,3206,3205,3204,3203,4369,3200,3198,3197,3196,3195,9945,3193,3192,3190,3187,3186,3185,3580,3183,3181,3180,3178,3174,3173,3171,3170,3231,3168,3166,3164,3163,1803,1804,1805,1806,1807,1808,1809,1811,2010,2011,2012,2013,2014,4520,4521,4522,4523,4524,4525,4526,4527,4528,4529,4530,4531,4532,4533,4534,4535,4536,4537,4538,4539,4540,4541,4542,4543,4544,4545,4546,4547,4548,4549,4550,6256,9606,9607,9608,9609,895,444,8188,9898,9888,1646,9887,9900,9897,9901,8181,9889,522,4727",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x43de4145b131fb524ef36063d2231c4e20461dfd,500,"2825,445,9757,3695,7931,257,1815,2488,6834,2057,5790,2510,7776,188,8668,9269,9266,9799,8852,8170,8989,8067,8398,2559,2622,3413,2663,3696,6854,6855,3399,229,2564,2645,8991,6474,9941,6972,6759,5345,1113,9198,6700,1882,706,2594,2591,3702,2826,153,2607,144,2784,7103,206,9680,7774,3697,213,9263,8660,1840,6072,286,2718,1851,6082,6806,8138,1499,2529,6956,4629,4630,4631,2606,1711,1712,1715,1971,798,2560,1517,8910,9061,3700,1830,1030,9489,6882,247,2425,3561,1943,7430,248,3501,9503,8361,3699,7775,9267,201,8276,8492,710,4028,6887,8033,9191,7106,8303,7110,7109,7108,7107,2783,8307,8306,6915,8305,8304,1004,2596,5678,3609,8393,2582,4666,260,6093,2589,2599,2578,6083,2482,6989,6988,6987,6986,6985,6984,9050,2642,2540,2546,6970,2549,8866,2550,9255,3711,2753,2646,254,2082,5434,2632,9802,2042,2668,282,2497,5374,2502,263,1664,2046,2786,8363,6071,1104,9880,6934,2648,2489,2695,1496,8397,220,1776,9199,2744,3007,204,5889,1674,216,9190,185,7771,9495,9494,9488,9487,7097,198,5458,7096,7093,7087,7085,2583,7082,7081,2537,3694,3632,8036,8512,524,9251,9252,2571,199,6415,6119,2590,2310,560,1199,2544,9634,6785,81,3345,3189,2520,6801,6769,3445,9258,6993,8526,1813,5745,7547,4392,6085,2644,289,3911,8724,2062,5746,5744,8225,8706,8924,8930,8931,8932,8936,8937,8945,8947,8950,8953,8954,8955,8956,8957,8958,8959,8960,8961,8962,8963,8966,9166,9167,9172,9173,9176,9177,9206,9207,9210,264,277,8395,1717,268,270,1166,8475,4431,1087,9270,1003,5201,3491,1825,9844,9883,2670,2424,9899,2439,267,186,7788,2009,355,9939,6418,4665,2787,865,3423,1793,747,245,3291,6789,2573,6436,5883,8309,219,1556,7679,3405,9760,8647,191,6979,182,6078,232,5459,2586,2538,234,6944,7018,2743,9093,6971,6066,462,1014,393,1838,2688,8917,1702,2834,2499,1707,246,8308,272,2605,8775,2653,2676,8848,6113,3044,6805,3042,2749,4450,2595,214,8050,225,6831,2548,2530,8667,7940,9225,2584,9223,9222,9221,7657,7092,6715,6705,2738,228,9851,5740,8679,8680,613,8682,8683,9785,9208,9214,9215,2808,8688,8689,8690,8691,8692,8693,8696,8697,8698,8699,3393,2523,8702,8703,3350,8705,8707,8708,8709,8710,8918,183,6084,2921,8926,8927,8928,8929,8933,8934,8935,8938,8939,8940,8941,8942,8943,8944,8946,8948,8949,8951,8952,8964,8965,9168,9169,9170,9171,9174,9175,9178,9203,9205,9213,7924,7713,8297,4681,1500,5662,6725,8923,8416,5077,9791,9485,2757,2276,2483,3663,3442,9490,2318,6746,2823,8677,3456,8450,3144,2060,2747,9054,9388,8422,2498,3824,2630,8471,2608,3839,2745,9389,202,5518,84,3803,261,3792,7102,3714,3715,3716,8424",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x607e0f6055087f84b192b255b2272446432a4423,307,"1032,1033,1027,603,526,802,1065,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x4da1224a997473fe0fbd849dbbf0aebc4cafbec6,250,"5996,956,958,960,968,5971,980,987,988,996,1005,1852,1855,2195,2196,2210,3005,3667,4009,4015,4040,4043,4046,4047,4050,4054,4055,4057,4058,4059,4064,4067,4069,4070,4071,4074,4075,4076,4079,4081,4084,4085,4086,4142,4143,4144,4145,4152,4153,4154,4158,4160,4321,4323,4327,4328,4329,4331,4332,4334,4336,4338,4340,4346,4347,4350,4351,4352,4354,4358,4402,4416,4417,4420,4427,4428,4430,4062,5904,4155,4357,4609,5890,4078,4442,4422,4012,4622,5869,2067,4322,4349,4011,5992,5994,5969,795,4039,1856,5863,3668,4080,881,4049,819,5891,5987,4073,2191,5876,4344,4147,4436,4042,4627,5977,1544,4621,4333,4612,818,4611,5962,4053,4438,2459,4007,1785,4628,5872,4437,4325,4138,4141,4159,4150,4161,5865,5968,4148,4618,4065,5995,5973,4342,5908,4056,5998,4010,4441,965,5964,4149,4356,4066,3664,4647,4432,2192,4156,4439,5997,2183,6000,5887,4083,5993,4419,962,4424,4041,4440,4051,5986,4157,5988,951,5981,4146,6005,4337,4068,4037,963,4014,4061,6009,964,4072,4038,4077,966,5868,4341,4013,4052,4425,2182,5866,821,4610,6004,4063,4045,4617,4139,4335,4353,820,5976,4429,5966,5984,4151,4433,4625,5985,957,4421,6003,5864,5975,976,985,984,978,977,979,981,992,955,4418,5882,4426,4060,4616,4324,5867,4140,4615,5983,961,824,880,983,4044,4434,5902,5901,6002",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x3e79c89f479824bc24b9ead73eb8c55f322fe963,233,"9647,604,9994,451,556,1581,8889,9070,576,3530,1874,836,3634,7010,9476,7385,1082,1746,3379,9600,6138,10000,8590,1107,5776,6431,9480,4312,1969,5818,9868,1013,3451,127,5723,7639,2729,5765,9997,3795,7393,9593,8713,2,3465,3799,7690,2992,3549,9956,5823,1989,3372,8178,4986,8279,3800,9605,1507,1560,5051,9453,3794,5592,3287,9574,9497,5,3382,4995,1733,5596,5811,9458,1623,1620,8482,4018,391,8497,9679,2815,5826,9299,840,763,7387,5829,2326,7627,5450,5691,2438,4023,835,7635,5809,6978,841,511,7380,9455,3339,3547,5593,373,8259,5838,3537,2213,4021,96,7486,9486,1602,722,7386,5401,5774,7682,9751,9084,8180,7413,8754,9515,5728,8886,837,822,8888,9579,9449,3121,5600,6708,7676,8,7545,7493,5835,1749,7402,3082,9599,9481,9603,4856,3798,3411,9571,7119,4414,5729,8874,9592,2487,466,7094,1917,7310,2820,8768,1519,5775,7379,6458,5748,611,4412,4731,1760,11,3599,7629,1927,5453,1950,464,527,2216,9567,1745,606,9841,5847,3309,3333,5769,1930,8076,7100,8233,3793,7307,2324,5590,4829,8758,5785,5080,1738,2412,842,9491,1699,5410,9469,83,7194,3331,839,7372,3975,420,8840,3679,605,4404,7084,7708,405,8035,634,8236,5526,4410,6734,896,2521,834,610,3502",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x2f37762456f82facc2cec917e4df60f953b2a8ad,168,"294,295,301,446,452,456,465,508,640,753,833,1167,1516,1554,1557,1558,1564,1637,1644,1649,1650,1656,1657,1658,1659,1660,1663,1857,1938,1945,1948,1952,1954,1957,1970,1982,2021,2025,2029,2031,2033,2036,2039,2050,2051,2290,2294,2308,2309,2322,2405,2525,2696,2701,3141,3247,3249,3250,3254,3290,3293,3294,3303,3344,3370,3371,3374,3376,3381,3402,3416,3429,3443,3452,3481,3486,3507,3614,3633,3643,3689,3802,3856,3857,3860,4504,4507,4514,4728,4730,5035,5063,5070,5254,5255,5257,5564,5565,5567,5568,5587,5661,5663,5670,5672,5683,5687,6179,6414,6417,6423,6430,6438,6851,6875,6897,6900,6902,6905,6907,6964,7177,7664,7697,7699,8020,8034,8121,8134,8141,8143,8146,8147,8149,8162,8191,8202,8244,8249,8292,8346,8423,8433,8439,8442,8517,8538,8643,8653,8658,8772,8850,8861,9085,9089,9164,9165,9273,9298,9357,9413,9445,9447,9514,9874,9979,9996,9998",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x8c6cc600d765585edea916435777c3ea400ebbef,120,"652,642,644,637,683,689,9667,679,645,9302,9283,8826,8822,674,8496,675,8270,651,677,8192,8044,7521,646,6262,6252,666,5105,648,623,626,647,653,654,660,661,662,669,680,681,682,684,685,690,691,692,695,696,697,701,702,703,704,707,708,711,712,713,714,716,717,718,719,720,723,725,726,728,729,731,732,733,734,735,738,740,741,742,743,744,746,748,749,750,751,752,754,755,756,758,759,761,762,765,766,767,768,770,771,772,8498,774,777,779,780,781,782,783,784,792,9372,1652,2300,2714,3472,4517,4598,5043,8456,8260,5680",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0xe44b34945a41552838c0b199db3d9570153f4f3c,110,"33,55,109,376,433,463,649,688,1026,1080,1481,1509,1693,1991,2255,2514,2711,2794,2814,3008,3015,3050,3052,3054,3056,3268,3269,3271,3276,3298,3310,3312,3352,3377,3430,3492,3553,3576,3600,4400,4585,4729,5026,5348,5722,5792,6039,6175,6205,6906,7020,7021,7112,7700,7817,7986,7988,8172,8184,8196,8198,8240,8265,8269,8281,8298,8367,8374,8434,8459,8550,8622,8722,8728,8764,8835,9025,9026,9027,9031,9034,9035,9036,9037,9038,9040,9090,9217,9346,9347,9348,9349,9355,9438,9546,9660,9664,9896,9973,773,941,9406,9539,4769,1966,4763,2392,8321,4364,4368",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
0x5805641e589cf538004a0ccfc31a57ac1ba2cb02,79,"371,5100,5101,5107,5584,5585,6194,6494,6495,6958,6959,7122,7123,7124,7518,7519,7715,8016,8017,8314,8315,8318,8319,8567,8568,8569,8570,8717,8718,8719,9094,9095,9096,9097,9098,9099,9100,9101,9102,9104,9106,9107,9108,9109,9110,9111,9112,9113,9320,9321,9322,9323,9326,9327,9328,9329,9330,9331,9332,9333,9337,9338,9339,9424,9425,9426,9428,9429,9430,9431,9433,9755,9756,9862,9863,9864,9865,9866,9867",0xbaff37aa3667abb92d9d10c2b0a1d4128033c4df,2026-08-07T14:22:38Z
