wallet,nft_count,token_ids,contract,snapshot_time
0xb97176276b93980a659bb54b3243364e2a8c4d21,40,"81805833614150408587565037813227845905545867459845176660017600095754210009854,86678839618281848100788037213082417525807266051312932832484189009830769329787,57389559081805669890425881474010761052068784411403337766203912263182167372945,52029410884819996851623912766742871068924641383394714330143857525094137578465,43411505143125217022925823873575340783999276708043034572420122049176843542744,84670004425055178628592689889732327571717339850079584434419337782575787122538,9161134855647086315660222816618049807631707763449693821702704484654184528308,70407018869515771021410832951021986296810103854052980708733229125119796588639,6954881765773148809153837251807535046159729380517872610169983293502365189890,109992580798928849945823120053639288897828010682099490908594662213600633668927,110905503053695440361248230192984497918011220690196742253678676846001404618144,75287641720760180147500834732045410375073976546450309499292826626806288816493,12167211526460239440100639221579034618133671962824714178999692322428172853142,8300654822840487148228685071814951526891578810013809799361906339256661102811,57062325801004224604212369243588225360494270339783491671814432643187922712322,28462580656638664320797325526032186723983755664508044475309258529755894849379,23973288592367015820188319273597822559634507460469111847317244131285479339940,4829816155003500487436021789385485175698700371857774731872064434335939053526,70382382718431724350940951439344550180647109419788096579219027844374332740717,4184985071838551582376746369912764661149882672277224010556837088291675029290,46220885419071456186447945975772665099346507155205219212749406712562718102812,74569775423712741745377674732637252035210706836579426688857468673749241024339,110998829732672612298181622126628051950870409721003029160632155082610644480520,21812104837352701900151495782002388796746324645568679553027380716777045379855,10104930235950383797495126306869467722697850374564181080515709037086492736489,35994602017102433144125166358978561461795826866542840296962713946577016592142,87509041759876437696228264914064934172531159606359259911147118119430873073020,39595522814126248121584703726865772705804438965536213475297934416102699668599,108857958145034331959675419819589368522233353049754074522005073778544471542937,40912183666873066737936139427495042498207543494225918885332056563286052098226,84914531375613224443884725751445934403308641051756060792297532171538521196491,18310224946492672716519092882910445896165678316195182068305206561553465441337,111908405371484106740528145517172489549270711925361454067240030532370548964306,49418373386155617449759190395453585955126713324337260111554882510990749652154,108073112545149502309581879003129787949222274129814753233498558137985360684340,89767378112354816508501321015808968863956221434199841288962494604978570715195,106110614136506489284083797590943952382914449478180878880401118849183532520311,31763442155070849695700739080694830590178802645983397077007245698428918913576,40215581021640432959040020034327944165507806679983950698813434860290029202751,10971832662906547421899915734180745099054001248876505137507957422086257053926",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xb69d54a4e31f24afdd9eb1b53f8319ac83c646c9,29,"112500034371647023795962139634558399984165498069511576460685357513174419498138,50982721037084702581905790016859169892035235640117694838276275638074798275020,52365339249091963026190619393719724938201896170493275318881293051248549644734,291768526412920125814818888759318271263346377761185891993827519477067111068,81398242512917658675443683487156018075321233826037978162880767312312820246160,60224223093563737937622517855355571806601476770709971426141139514843153810951,7233536479306318703860561707794728777899423127055993142268230883199653086208,28120431216036478570460427102784417474905743974563189199061185898848073427047,103742977347004380199297152605316566874984316080625697179473225659670553530637,58639146053610466137788243876820377098824697353514510557088182682404696137968,28213400629270977759925130707104699968047124382806341309158377859863016543150,73241687520854635036617588508872922897340773469148920711479556837659434827401,58017276183536151819263321179741821508690535417160681775885816252685410183555,112758170328470946947235957911183094586171214231483134082786148404895550928694,29614241052535326761367794882590303548321726266251117675948629952536114667130,55117941990421840679929730146542127231788026009580302744465469936778850564912,69328229788147833611482011484241029180022068510845251208259880487109900537347,56076547234447652773300284558905444969529905770939628471269242761115252021808,86168729471383630480190452678908157320751316159994350244877876518432860090090,85380654035037986240037509809655822590078199287142726116054764865276073569452,15453505818159842470888106928804063795063075602863944128937576076382006913420,88168204719805633171091368388166143113914412791883208032437154073522930116236,8679210324989871268497780350338113730107583724639817436871231589618697448345,87578967489433352488280090263564206968023309436073033226840565187676907179803,25096176198811317544559170831073119850953242432389738873407943404509881886109,3105739097828596084656698467400663464471789626584718241305072788569078779068,42624811877616468457600747767970553687794965330808540677748498580475221391765,79305190281172479335119152404914599303295059725050255804622691314325941189534,18096869981819344225818303062551855199393198909386943290007049393736981241646",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0x9bc1455b4b1711a3e8a24cb926735b7e6a7fc814,10,"65824729056106009749212789258367565792715328625332678561664015214453203781252,89753553584670895028822805464629040845514921207374883670118930363926037064450,87197238180481633959440563847221339026460307022728477791521855207164398318868,103981049096087989575025142989247141421270851079181816721646013371584834861070,31503000899515697341298928470022396388707661530073287584116757494382694986355,114624425417016268761881517844874820363937479017667780844753547687690634989360,38261805598613864043810717081520745736442218149083787269242810461482174708882,26399243466107690849926285425218995470903144188285154912385881930680602484506,79233663829379634837589865448569342784712482819484549289560981379859480642508,69889504484509261860864522102910475316033821890556488293345200742787081378260",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xd35ff283f6cbb5d4bbddf659c5d36ee2246f3105,4,"35851472983348661942171874916687596577451398121669119163883909273351482226746,60468175670860686114675944158973815599837186608961700033400671621809390680403,92898232990053184345158952720375615196852906943782110104787425456630431898132,13374130302803194397179767038528825112038603253759691543116436235506171962398",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xc6e184846c8757516c9304e690eaf89a3287f45b,3,"55259066467185884511078990412509040119039839173279388520175074403768609410845,12910348618308260923200348219926901280687058984330794534952861439530514639560,22408747507942064436878153938853573216444112264301888970471447872413273054156",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xc4273b52ef5d5bd80536eac7f83d8116af19e306,3,"33842708525372380339546518032279134870453437721368846736377890175459027663976,8168838033180166026789916056995843587367457861884495424066574638160875452692,30192941884451039369970860339896028740740050099905293148850619277007067377934",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xed6a65822f80bb80d3b0d794e8b1276fc0282a83,2,"100567917540867090294947113176792694600738763480337589720715443766007246631145,64764778839361762151690808078756165765786322949278982405984727401906281401511",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xed6157c728c5f654ea835fcdf6716b3ad2ecfd52,2,"39154651965220483268709071381112537011443458297069325637495523307753522059850,8458976286891120232061084899485637846512302260379418405250156539270020628810",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xe7ba50419aa93d1ad7752221449f61350e395060,2,"101167421892527259262896890502573084690277200565605863279680657686902852906355,112321337486639851831609029195015328460059776370638909863224942674242951186729",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
0xd1847d562a47b565572ba147b491c2940ce0f1f2,2,"30936203212958103495079253942346799690985064454090942257108618779411479997657,5470085615525171777166992608744674949128118991971263387751900588032155247765",0xe83c2021550b17169bd2d608c51ba6a2bea0f350,2026-08-07T14:22:38Z
