wallet,nft_count,token_ids,contract,snapshot_time
0xf27b9704a15ffe47818fd48660d952235e9c39af,54,"1082,3169,732,267,2945,1708,1299,2058,304,1716,3453,2791,768,3485,1183,2137,2725,2193,2049,58,1714,2872,12,159,77,2971,2235,1143,2218,921,2162,1560,508,2024,3489,1118,1913,2950,413,645,2286,2187,2075,747,3349,3090,2420,1021,2685,1656,1993,1371,887,1279",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,31,"1827,711,1895,976,2022,2207,869,1212,1347,3045,3422,1146,2237,439,3254,225,924,725,2925,2757,2760,1153,2115,2054,2895,535,2195,3105,3437,196,1092",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xfcdc311a7c560235a432d3cb6155026795d9105b,20,"2729,1336,2421,1520,1070,1500,2461,585,945,42,3059,291,238,745,2261,2329,1203,3150,2425,512",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xb10d3ca4025272bd884c8d280b0517c356bf5cc2,7,"2198,1985,2011,1378,3073,3178,1526",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x56ce632320b8af872b9ef5b94c4a483a63f1ee26,7,"2966,793,30,2502,2801,1323,2005",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x81de381fa4b91bc6e36be3e31483fefaba6b1b0a,5,"1952,2545,2383,879,2197",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xc8d8d70173f00d738c66b08c01a4b0deda09dcb9,3,"3233,2499,197",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xfeb88af0fe5087cd839fd363deeb072206c4b487,2,"2474,2523",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x65ba8d498a9fd662e255f9ac22a762ea803b516f,2,"1994,2939",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,2,"3449,1730",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x11b586c344bb99db92908039f2d3621c6cf3b194,2,"950,2363",0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0xfbcc24f27cc4bbc96dd0844c35223822430cdf41,1,1744,0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x9e7945866257af43710ff59cdeb979dfb1b552b9,1,861,0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x98198eec9e2dcbfa450d36b472d6526aa4e0be6a,1,2555,0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x60ecffcd16b527bf77e6c6d2b02bc5b127123dbe,1,2142,0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
0x3a5ff107f4a0159c29bb1397951f3a9268414d37,1,655,0x474faddd73b6ff260efd281b4eb375a6fd7ea9bc,2026-08-07T14:22:38Z
