wallet,nft_count,contract,snapshot_block,snapshot_time
0x000000000000000000000000000000000000dead,7000,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,290,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x569b4b1228effae4c91db3c76efbfe1e276aa1a6,271,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xc3198dc78fdbc7f24bdc5deee1bca1aab05c961c,188,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xf6f8330880f5a99fd9b98072480dc920161f413b,144,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x4f1b43aa8a5924eafdd6a8ee095717661485ae6a,98,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x459b3deb1d869f89cfbaf118e57181ef8a2e9599,80,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xb2360fcc83816561bc4759f25cca5649110e1796,75,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xdfb02ffc1ef12c24d6f46ad9fcb70e951445fa42,72,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xc06565ff31ad02f5ebd6ef7e918866ba9f22f391,69,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,65,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x6b091ec6c77ebafac15ff88f34c89a4b0b032791,60,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xf1a1b7e11e636f19aca2a9745ee36ee075027d48,50,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xb8c6b26ac5f17f20033b068149735c95ba113694,50,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x1fa26cbb26a254b728e81007e39ffe9a9a93df14,50,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x03da44de4361c823a13dcb6a3765d422cfae22fb,50,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x44e4b80e4cdeb4d641168580c284859fcfb84f16,49,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x37e68d63dc86310c9a5a296d20dcf94c9a5fef15,44,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0x3e79c89f479824bc24b9ead73eb8c55f322fe963,42,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
0xabe465c13ebd03911087bb32a32cc75499d8103c,41,0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62513098,2026-08-06T23:38:22Z
