wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0x000000000000000000000000000000000000dead,500,"69,112,125,158,170,178,181,192,202,218,233,237,245,265,298,315,319,383,385,423,433,435,499,501,534,562,599,620,633,651,660,686,701,753,769,814,827,837,853,854,864,868,886,889,905,956,966,974,980,982,989,1097,1108,1119,1123,1139,1141,1151,1169,1186,1206,1239,1246,1260,1265,1271,1290,1394,1415,1440,1453,1465,1498,1543,1563,1597,1604,1620,1624,1672,1710,1724,1737,1757,1780,1796,1840,1847,1874,1902,1966,1978,1980,1984,2007,2014,2021,2027,2065,2077,2105,2108,2130,2131,2179,2184,2197,2205,2212,2215,2230,2231,2239,2263,2297,2321,2370,2416,2420,2444,2445,2489,2505,2549,2577,2625,2658,2659,2668,2685,2691,2728,2747,2751,2776,2804,2809,2819,2822,2832,2835,2847,2848,2872,2882,2890,2895,2924,2942,2945,2958,2977,3012,3016,3031,3068,3107,3123,3128,3132,3146,3156,3193,3216,3230,3281,3289,3302,3316,3356,3357,3393,3417,3420,3442,3458,3463,3483,3498,3518,3521,3567,3574,3583,3593,3619,3663,3664,3689,3690,3692,3725,3773,3809,3859,3925,3936,3966,3979,3988,4012,4091,4092,4101,4117,4133,4203,4243,4250,4254,4319,4357,4422,4436,4437,4443,4451,4469,4477,4489,4491,4496,4530,4544,4577,4603,4625,4631,4633,4646,4656,4672,4688,4705,4731,4743,4767,4849,4852,4874,4900,4910,4933,4936,4998,5013,5052,5060,5073,5099,5127,5144,5224,5226,5233,5240,5245,5275,5284,5287,5303,5324,5358,5378,5386,5417,5443,5463,5488,5498,5521,5523,5555,5575,5579,5595,5610,5614,5662,5688,5735,5745,5760,5769,5773,5776,5786,5795,5797,5800,5818,5819,5844,5845,5865,5906,5920,5925,5929,5940,5953,5973,5998,6049,6052,6057,6076,6101,6116,6118,6178,6197,6205,6208,6223,6228,6234,6250,6276,6297,6304,6306,6347,6355,6381,6383,6389,6390,6409,6430,6436,6438,6441,6444,6472,6476,6564,6565,6614,6643,6747,6810,6852,6863,6864,6915,6919,6990,6997,7004,7015,7018,7047,7168,7179,7222,7224,7266,7275,7276,7291,7300,7304,7353,7380,7395,7415,7429,7455,7482,7502,7516,7582,7593,7618,7641,7670,7685,7693,7730,7731,7766,7778,7784,7816,7822,7825,7938,7959,7996,8003,8013,8015,8018,8022,8028,8062,8068,8083,8093,8118,8124,8145,8154,8157,8172,8199,8215,8222,8233,8247,8274,8291,8370,8386,8396,8420,8437,8457,8469,8472,8494,8521,8525,8541,8553,8576,8591,8598,8618,8624,8629,8631,8656,8684,8735,8766,8777,8808,8812,8824,8893,8934,8937,8941,8950,8965,8987,9018,9019,9022,9069,9071,9090,9105,9107,9130,9138,9158,9174,9183,9194,9214,9216,9219,9254,9280,9283,9351,9425,9461,9475,9486,9517,9535,9539,9540,9546,9560,9568,9572,9582,9612,9625,9626,9661,9665,9692,9693,9697,9789,9813,9833,9861,9865,9870,9884,9898,9915,9940",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,290,"95,98,109,154,179,205,225,357,378,413,419,450,462,477,579,588,618,684,721,728,741,794,830,1032,1042,1056,1082,1116,1152,1158,1170,1171,1267,1308,1322,1333,1404,1455,1500,1522,1554,1629,1634,1695,1702,1753,1835,1845,1868,1888,1909,1930,1958,2016,2023,2056,2073,2149,2186,2237,2240,2258,2294,2366,2379,2386,2409,2488,2564,2571,2793,2824,2829,2842,2857,2875,2876,2901,2904,2910,2939,2948,2953,2964,2995,3048,3070,3094,3101,3106,3109,3185,3195,3208,3212,3304,3343,3426,3505,3558,3580,3600,3616,3624,3652,3658,3706,3748,3763,3792,3793,3820,3842,3882,3889,3902,3921,3929,4018,4105,4109,4122,4139,4159,4185,4201,4225,4252,4281,4423,4482,4584,4613,4655,4676,4718,4733,4742,4770,4773,4809,4814,4816,4913,4948,4965,4990,5004,5009,5014,5038,5082,5137,5145,5156,5198,5254,5282,5318,5344,5355,5427,5452,5524,5535,5625,5637,5639,5674,5742,5804,5829,5847,5848,5902,6002,6074,6109,6166,6168,6253,6287,6289,6327,6349,6364,6432,6582,6630,6632,6659,6684,6740,6754,6767,6846,6930,6932,6947,6949,6965,7097,7118,7159,7228,7259,7309,7383,7385,7442,7454,7523,7539,7584,7608,7620,7633,7663,7700,7741,7789,7805,7875,7912,7913,7914,7919,7962,7967,7971,8053,8325,8421,8478,8490,8498,8506,8523,8547,8621,8633,8676,8706,8709,8748,8798,8847,8927,8932,8957,8963,8964,8974,8978,8994,9028,9051,9065,9136,9147,9151,9162,9187,9218,9231,9238,9244,9262,9301,9303,9348,9360,9440,9447,9460,9471,9505,9527,9555,9556,9561,9576,9597,9623,9725,9788,9832,9869,9918,9982",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0x569b4b1228effae4c91db3c76efbfe1e276aa1a6,271,"20,266,283,290,296,333,342,344,367,412,449,475,491,511,533,619,648,654,657,674,696,729,730,781,908,991,1003,1008,1011,1012,1044,1190,1228,1299,1342,1344,1358,1401,1503,1557,1594,1606,1622,1665,1684,1752,1782,1815,1846,1934,1939,1972,2031,2042,2071,2076,2109,2112,2168,2196,2206,2266,2299,2307,2340,2341,2368,2413,2535,2548,2626,2654,2719,2739,2763,2807,2852,2892,2921,2932,3057,3116,3127,3150,3223,3391,3465,3491,3493,3549,3594,3649,3714,3726,3833,3834,3881,3907,3924,3970,4001,4008,4035,4068,4071,4075,4080,4124,4257,4301,4502,4504,4521,4549,4684,4799,5189,5394,5461,5482,5583,5709,5798,5811,5820,5907,5923,5963,5968,6009,6047,6089,6102,6132,6156,6179,6216,6280,6282,6337,6382,6392,6427,6458,6459,6495,6528,6590,6591,6669,6676,6692,6694,6739,6745,6757,6763,6766,6782,6786,6824,6833,6834,6857,6860,6888,6901,6959,7014,7064,7071,7076,7098,7134,7169,7173,7182,7187,7188,7261,7270,7320,7417,7463,7524,7564,7588,7589,7617,7668,7676,7681,7814,7837,7843,7905,7934,7954,7981,8007,8011,8033,8066,8076,8084,8098,8117,8120,8131,8140,8174,8202,8212,8221,8334,8361,8392,8405,8492,8552,8588,8594,8673,8716,8779,8837,8851,8883,8933,8954,8977,9014,9026,9046,9067,9124,9126,9145,9153,9186,9224,9237,9253,9257,9310,9324,9358,9406,9423,9466,9473,9490,9496,9510,9514,9520,9526,9548,9584,9592,9624,9634,9636,9732,9887,9896,9949,9954,9959,9972,9989",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xc3198dc78fdbc7f24bdc5deee1bca1aab05c961c,188,"115,137,146,175,217,275,625,669,687,742,824,834,1047,1062,1126,1163,1213,1235,1315,1380,1438,1444,1463,1479,1550,1635,1660,1661,1666,1708,2025,2039,2060,2072,2365,2404,2426,2540,2601,2618,2688,2736,2752,2891,2893,2975,3067,3089,3139,3226,3278,3279,3290,3296,3453,3460,3475,3546,3565,3752,3769,3854,3856,3932,4129,4181,4196,4223,4291,4355,4442,4553,4562,4612,4692,4714,4784,4791,4821,4891,5005,5006,5028,5132,5139,5191,5255,5301,5345,5398,5450,5466,5479,5507,5593,5646,5713,5715,5743,5793,6000,6005,6023,6050,6112,6122,6147,6332,6362,6422,6451,6493,6555,6571,6603,6615,6619,6631,6698,6705,6716,6771,6827,6830,6906,7022,7038,7043,7061,7124,7171,7185,7209,7246,7251,7257,7325,7351,7362,7466,7496,7642,7698,7785,7791,7926,7951,7955,7969,8019,8021,8024,8281,8385,8409,8416,8431,8534,8535,8539,8580,8627,8681,8704,8727,8747,8846,8914,8915,8966,9043,9089,9180,9272,9317,9321,9328,9410,9467,9508,9649,9672,9733,9810,9812,9824,9885,9956",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xf6f8330880f5a99fd9b98072480dc920161f413b,144,"14,78,487,835,1180,1183,1209,1326,1363,1372,1588,1625,1766,1793,1915,1929,1944,1955,1960,2222,2314,2333,2339,2371,2481,2569,2579,2580,2740,2810,2825,2860,2884,2943,3121,3201,3268,3340,3359,3642,3700,3704,3730,3814,3866,3894,3930,3976,4147,4176,4297,4316,4358,4362,4372,4406,4449,4465,4478,4510,4552,4570,4586,4629,4640,4802,4931,4954,4968,5188,5228,5238,5258,5338,5349,5391,5467,5489,5578,5622,5706,5889,5913,5935,5977,6092,6199,6278,6391,6412,6481,6561,6731,6762,6805,6820,6985,7021,7105,7106,7156,7180,7303,7404,7475,7548,7590,7621,7638,7669,7851,7891,7976,7984,7989,8031,8040,8065,8070,8109,8130,8184,8322,8460,8488,8566,8693,9009,9146,9149,9228,9291,9335,9361,9417,9430,9587,9637,9743,9821,9891,9911,9931,9971",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0x4f1b43aa8a5924eafdd6a8ee095717661485ae6a,98,"362,374,436,525,597,690,727,756,759,793,1077,1140,1144,1238,1509,1532,1639,1791,1839,1886,1892,1894,1935,2110,2200,2398,2653,2656,2889,3228,3235,3381,3471,3595,3910,4021,4119,4170,4275,4547,4723,4748,4768,4807,4907,5051,5055,5212,5311,5447,5678,5772,6084,6244,6260,6275,6318,6353,6574,6689,6725,6744,6793,6912,6956,7008,7207,7299,7441,7443,7444,7456,7477,7560,7610,7835,7874,7999,8088,8155,8189,8375,8404,8406,8410,8502,8574,8738,8754,8833,8970,9050,9242,9344,9347,9690,9802,9848",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0x459b3deb1d869f89cfbaf118e57181ef8a2e9599,80,"64,134,209,397,461,783,888,1196,1389,1501,1631,1772,1870,2036,2096,2429,2627,2797,2979,3008,3043,3161,3242,3364,3396,3761,3875,3918,3923,3940,3956,4089,4330,4341,4445,4447,4473,4516,4573,4864,4940,5215,5220,5244,5474,5809,5826,5896,5926,5937,5989,6344,6649,6727,6836,6943,7044,7243,7293,7356,7422,7818,8060,8275,8336,8479,8635,8711,8913,8931,9281,9439,9497,9534,9543,9621,9663,9708,9844,9879",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xb2360fcc83816561bc4759f25cca5649110e1796,75,"61,103,180,285,645,895,992,1071,1091,1205,1360,1392,1427,1445,2051,2084,2128,2177,2280,2507,2729,2865,2976,2986,3087,3526,3572,3608,3684,3691,3736,4113,4134,4140,4283,4292,4350,4513,4514,4572,4694,5024,5385,5389,5670,5799,5869,5946,6083,6369,6465,6545,6892,7112,7170,7531,7629,8006,8146,8234,8367,8369,8726,8749,8764,8770,9064,9205,9266,9274,9289,9370,9426,9837,9976",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xdfb02ffc1ef12c24d6f46ad9fcb70e951445fa42,72,"0,86,94,300,390,484,700,775,1101,1321,1458,1507,2254,2464,2583,2709,3697,4233,4537,4691,4702,4788,4988,5264,5371,5404,5626,5723,5898,5997,6025,6042,6138,6242,6299,6380,6399,6434,6517,6527,6570,6662,6696,6779,6825,7046,7155,7167,7227,7236,7473,7555,7764,7795,7840,7855,8161,8168,8376,8497,8877,9006,9037,9063,9116,9208,9288,9487,9536,9564,9839,9906",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
0xc06565ff31ad02f5ebd6ef7e918866ba9f22f391,69,"38,89,278,361,678,750,764,772,1273,1900,1912,2155,2227,2351,2357,2561,2631,2756,2841,2878,3019,3176,3682,4059,4088,4118,4153,4428,4741,4750,4996,5090,5120,5348,5374,5644,5676,5711,5714,5763,6210,6305,6681,6732,6790,6794,6988,7019,7348,7528,7748,7768,7813,7956,8493,8687,8762,8839,8873,9100,9140,9226,9329,9436,9498,9683,9706,9729,9868",0x9b291b0e9c78ce1c94b701d3d9faad349c4be341,62514232,2026-08-07T00:16:08Z
