wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0x8902f0441efa2cff664626c4f31eecc3b2953725,225,"131,203,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,485,518,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,565,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,623,638,699,713,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,747,832,839,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,907,972,996,1112,1147,1237,1238,1351,1404,1522,1687,1750",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0x3e79c89f479824bc24b9ead73eb8c55f322fe963,200,"97,100,111,115,116,132,170,173,179,202,208,210,273,277,280,303,304,320,473,475,480,481,486,488,512,515,517,523,526,528,532,534,560,566,569,571,572,573,576,577,600,604,606,609,616,617,626,627,628,630,632,633,634,635,666,667,672,675,677,679,680,700,704,705,706,707,708,714,715,716,717,740,742,743,749,754,755,757,759,781,783,784,785,787,789,791,792,793,795,796,797,825,826,827,828,829,830,831,833,835,836,837,864,865,868,874,877,904,911,913,922,930,933,942,964,976,987,991,995,1053,1055,1056,1057,1058,1059,1142,1143,1145,1177,1182,1185,1206,1210,1215,1219,1223,1224,1226,1230,1231,1235,1239,1240,1241,1242,1243,1244,1246,1249,1251,1253,1258,1259,1261,1267,1281,1331,1344,1371,1395,1396,1406,1409,1410,1414,1415,1416,1417,1420,1421,1466,1467,1468,1469,1473,1476,1479,1484,1485,1487,1488,1489,1490,1495,1499,1500,1502,1503,1510,1514,1515,1519,1524,1525,1526,1551,1698,1767,1768,1795",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0x7e29d2dbebd04f98a0ca037bb4d58008be1d6789,182,"101,102,103,105,106,120,121,122,123,125,126,127,128,129,133,134,135,136,137,138,139,140,141,142,165,166,167,168,169,237,238,239,240,241,242,243,244,245,246,250,251,252,253,255,256,257,279,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,299,300,301,302,311,312,313,314,315,316,317,318,324,325,326,327,328,329,330,331,332,333,334,398,399,400,401,402,403,404,405,406,407,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1274,1275,1276,1277,1308",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0x611dddd5a25655f8c1c60abe103773408bddbb58,143,"477,601,607,612,625,668,671,681,698,701,741,780,788,798,838,840,842,867,869,870,872,873,875,878,879,880,881,882,883,909,912,914,915,916,917,918,919,920,921,923,924,925,926,927,928,961,962,963,965,966,967,968,969,970,971,973,975,977,978,979,980,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1054,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1474,1509,1656,1657,1658,1659,1660,1661,1662,1663,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1689,1690,1691,1692,1693,1694,1695,1696,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1771,1793,1794,1796",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0xfd071aac67b7cb2dc81c76e46cfb748122b2803b,120,"1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0xc8e52b3b318312518bcfc1e15acd89eb2934edc4,102,"306,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,974,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0x4da1224a997473fe0fbd849dbbf0aebc4cafbec6,60,"144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0xa15bcf6695aa600bd19deafbda74a0e02b225b96,51,"556,557,558,559,660,661,662,663,664,665,800,801,802,803,981,982,983,984,985,986,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1309,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0xa77e49af57ceb670f58735ce1e86326f5def0b27,48,"947,949,951,952,953,954,955,956,957,958,997,998,999,1000,1001,1002,1003,1004,1005,1006,1007,1008,1032,1033,1034,1278,1279,1280,1282,1283,1284,1285,1286,1287,1288,1289,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
0x9fc4dd21c02352b135269b83b52107a6e5ec70d6,41,"180,181,182,183,184,185,186,201,212,213,215,254,260,261,262,263,265,266,267,268,310,408,682,685,686,687,688,689,690,692,703,758,871,1146,1175,1290,1291,1292,1293,1294,1295",0xb3c75f465f6236985c0a0ce5013c5ae7ae2748e5,62514232,2026-08-07T00:16:08Z
