wallet,nft_count,contract,snapshot_block,snapshot_time
0xe4cff6b1918c1d911b4277c45a6f8778bda3aa08,3121,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x000000000000000000000000000000000000dead,900,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x5b46e5ce03f2dbbcd1f5099690bb93e83b6f2996,148,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x16879f952d20ff9cebfe712916534d59b2a91768,120,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0xa510c1015db84da159f6e84fc441d36b892d4a64,114,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,73,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x732685ea7138bc94cdbb2649ac4c9c619479199f,72,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0xcb0f0ea8a5bbc0f554d4f05ca208dfed0d638c2f,50,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x92e148fd89519030397f839948a6af6e22dbf4a3,45,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0xd2a730cbe4d989373e16ca15a2a0cf72107492ae,44,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x1e14e5dac0969651696eba4d04cd6894f7230d87,41,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x765e2863fa5624292e0bba1dcf32a9b4b0c5aee5,34,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
0x9bad4cca2435339e7b3dcb1941fb835cc53c6bbb,14,0x8743b1cec8939e456f05194503fbb6500a3ba67d,62513098,2026-08-06T23:38:22Z
