wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0xe4cff6b1918c1d911b4277c45a6f8778bda3aa08,500,"12,41,45,48,53,55,61,71,87,99,100,109,116,128,140,146,148,151,157,158,163,178,181,187,189,190,199,204,206,218,224,226,239,240,248,266,277,278,281,293,299,305,311,315,322,331,338,340,341,346,351,352,363,389,399,408,410,411,422,442,450,463,477,478,497,513,518,528,543,545,547,586,602,608,613,617,628,645,649,663,664,665,678,691,706,711,719,728,778,784,817,818,828,839,842,863,876,890,894,895,897,906,921,928,929,935,944,946,949,959,978,986,989,990,991,1010,1021,1029,1036,1064,1080,1082,1090,1098,1110,1115,1117,1120,1122,1134,1139,1151,1154,1163,1167,1176,1191,1201,1203,1205,1216,1226,1237,1239,1242,1246,1264,1269,1284,1288,1306,1310,1312,1316,1327,1355,1357,1384,1411,1415,1426,1432,1434,1446,1453,1457,1458,1475,1503,1505,1534,1535,1545,1553,1557,1567,1569,1604,1606,1618,1626,1640,1646,1652,1654,1658,1659,1660,1661,1679,1708,1715,1724,1726,1742,1755,1761,1770,1777,1799,1838,1839,1841,1845,1848,1860,1862,1890,1899,1928,1930,1934,1940,1957,1963,1966,1983,1995,2006,2014,2035,2044,2052,2075,2085,2091,2092,2110,2135,2139,2142,2145,2151,2155,2160,2184,2187,2196,2197,2203,2205,2207,2210,2215,2223,2230,2234,2255,2265,2280,2281,2282,2310,2313,2324,2333,2335,2340,2341,2343,2349,2353,2360,2380,2397,2419,2464,2489,2493,2502,2507,2539,2548,2556,2565,2586,2588,2602,2606,2611,2623,2638,2639,2641,2643,2649,2656,2667,2670,2672,2676,2707,2712,2736,2740,2745,2748,2770,2806,2807,2815,2838,2849,2858,2859,2870,2871,2884,2887,2892,2895,2920,2924,2932,2933,2955,2958,2967,2992,2994,2999,3057,3059,3063,3070,3086,3090,3095,3109,3112,3114,3129,3131,3135,3137,3139,3144,3147,3149,3161,3170,3174,3183,3192,3198,3203,3223,3227,3234,3243,3248,3255,3273,3301,3302,3315,3349,3356,3357,3360,3364,3376,3384,3398,3401,3432,3433,3434,3460,3464,3473,3481,3489,3494,3496,3521,3522,3527,3533,3539,3540,3541,3581,3599,3602,3605,3621,3625,3634,3654,3671,3672,3673,3716,3720,3727,3745,3749,3754,3762,3770,3774,3776,3797,3798,3802,3810,3826,3827,3831,3846,3887,3907,3922,3927,3931,3935,3943,3945,3960,3998,4005,4020,4024,4037,4041,4051,4055,4068,4074,4079,4092,4097,4100,4113,4115,4132,4135,4148,4165,4171,4177,4246,4264,4273,4291,4316,4317,4336,4342,4353,4356,4361,4368,4384,4387,4406,4411,4420,4437,4454,4494,4498,4510,4526,4548,4555,4557,4589,4614,4620,4626,4655,4657,4693,4694,4708,4728,4733,4749,4752,4763,4773,4800,4827,4844,4847,4851,4855,4870,4878,4880,4902,4903,4923,4939,4940,4941,4963,4972",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0x000000000000000000000000000000000000dead,500,"4,25,33,38,59,65,66,86,104,107,112,124,125,152,156,168,184,197,203,208,232,233,234,247,261,272,274,288,290,300,302,307,316,318,320,358,361,367,373,390,401,412,421,424,429,439,462,481,486,494,511,526,532,540,541,552,561,562,574,577,587,614,620,637,650,666,667,670,681,692,699,712,726,727,734,777,785,809,836,846,853,855,869,878,879,884,896,909,911,913,920,926,941,964,979,983,995,999,1030,1039,1042,1047,1049,1060,1063,1069,1089,1097,1101,1116,1125,1142,1148,1152,1158,1168,1170,1172,1174,1192,1196,1200,1209,1224,1227,1229,1235,1243,1266,1268,1271,1285,1287,1305,1322,1335,1338,1348,1350,1366,1371,1374,1385,1387,1388,1394,1397,1407,1413,1428,1433,1438,1455,1471,1478,1496,1507,1520,1525,1527,1532,1543,1549,1558,1561,1578,1580,1584,1588,1592,1605,1608,1617,1623,1627,1638,1649,1651,1667,1676,1677,1685,1689,1704,1720,1723,1746,1747,1756,1759,1785,1786,1795,1797,1798,1817,1828,1847,1870,1872,1881,1893,1896,1917,1921,1927,1939,1943,1945,1953,1962,1970,1971,1972,1994,2007,2009,2012,2018,2020,2022,2033,2038,2064,2066,2069,2072,2074,2079,2082,2087,2095,2098,2111,2112,2113,2123,2124,2137,2166,2178,2183,2185,2190,2191,2198,2199,2201,2213,2220,2222,2236,2253,2262,2278,2279,2296,2300,2303,2309,2312,2314,2315,2322,2332,2350,2359,2376,2377,2392,2393,2407,2409,2411,2414,2415,2429,2440,2445,2482,2483,2492,2497,2519,2528,2549,2554,2555,2567,2571,2584,2587,2603,2621,2626,2632,2675,2680,2696,2710,2715,2723,2730,2737,2747,2758,2760,2762,2775,2784,2791,2803,2805,2813,2827,2829,2841,2843,2865,2866,2867,2879,2889,2893,2917,2923,2946,2947,2951,2953,2970,2971,2983,3000,3004,3008,3011,3050,3052,3066,3071,3078,3081,3096,3097,3113,3124,3125,3140,3148,3150,3162,3172,3182,3199,3226,3231,3250,3259,3268,3274,3275,3281,3290,3303,3305,3340,3341,3346,3365,3374,3399,3409,3454,3480,3482,3488,3510,3515,3517,3534,3537,3549,3555,3558,3567,3576,3582,3589,3590,3604,3608,3616,3638,3650,3656,3657,3659,3670,3675,3677,3689,3708,3723,3758,3761,3764,3784,3803,3840,3881,3892,3899,3908,3924,3955,3965,3978,3989,3990,3997,4015,4022,4026,4034,4058,4059,4096,4106,4186,4189,4216,4226,4249,4251,4265,4294,4326,4341,4363,4381,4386,4396,4427,4429,4441,4483,4521,4527,4544,4563,4565,4573,4576,4583,4585,4596,4616,4619,4623,4624,4625,4632,4640,4651,4660,4664,4665,4666,4667,4669,4671,4672,4686,4697,4718,4719,4761,4776,4780,4786,4797,4798,4815,4841,4843,4849,4856,4869,4875,4882,4884,4885,4909,4916,4925,4971,4974,4992,5000",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0x5b46e5ce03f2dbbcd1f5099690bb93e83b6f2996,148,"6,17,52,84,227,241,269,275,282,314,405,407,414,437,465,470,484,514,519,535,588,592,601,641,658,679,690,718,786,806,815,888,922,942,955,963,1100,1175,1213,1221,1222,1225,1248,1353,1360,1443,1451,1678,1684,1707,1718,1727,1762,1768,1794,1844,1849,1907,1996,2058,2088,2130,2173,2182,2225,2311,2475,2509,2578,2631,2671,2690,2703,2750,2759,2786,2793,2825,2846,2901,2902,2913,2952,2974,3001,3006,3024,3026,3031,3108,3133,3165,3166,3185,3222,3252,3286,3309,3336,3366,3372,3422,3430,3475,3570,3648,3812,3821,3825,3853,3876,3912,3917,3938,3961,3971,4077,4105,4110,4134,4146,4183,4184,4275,4296,4328,4430,4520,4554,4581,4606,4613,4622,4681,4701,4709,4747,4764,4816,4832,4850,4861,4868,4898,4958,4973,4982,4985",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0x16879f952d20ff9cebfe712916534d59b2a91768,120,"18,40,50,79,80,95,105,114,176,230,253,287,298,332,345,350,353,397,418,428,460,473,498,525,560,808,960,1045,1066,1077,1119,1188,1193,1206,1247,1252,1291,1380,1510,1512,1552,1572,1593,1607,1632,1636,1680,1691,1737,1744,1807,1884,1919,1946,1973,2132,2138,2193,2239,2241,2307,2345,2472,2530,2658,2688,2720,2757,2788,2789,2800,2845,2940,2976,3009,3092,3101,3107,3118,3154,3159,3214,3216,3269,3299,3386,3402,3552,3596,3600,3681,3712,3718,3777,3793,3820,3883,3897,3914,3985,4035,4125,4138,4195,4214,4221,4252,4259,4412,4439,4489,4571,4627,4628,4704,4723,4759,4771,4810,4967",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0xa510c1015db84da159f6e84fc441d36b892d4a64,114,"11,21,251,257,309,360,441,537,569,582,619,627,633,654,661,677,762,779,794,905,934,988,1052,1067,1075,1087,1131,1256,1282,1331,1336,1395,1430,1502,1582,1609,1633,1665,1738,1743,1819,1833,1923,1932,1947,1974,1988,2096,2133,2240,2268,2273,2320,2354,2438,2465,2541,2544,2547,2559,2600,2608,2721,2769,2773,2777,2780,2826,2857,3045,3089,3121,3143,3152,3169,3179,3201,3265,3297,3311,3325,3416,3439,3478,3504,3851,3865,3936,3995,4066,4168,4257,4321,4358,4371,4436,4444,4455,4467,4474,4487,4562,4574,4605,4611,4720,4750,4777,4805,4834,4873,4976,4981,4987",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0xf27b9704a15ffe47818fd48660d952235e9c39af,73,"131,137,182,214,270,321,374,404,657,674,715,791,832,927,962,1040,1094,1108,1250,1279,1389,1445,1539,1782,1831,1853,1875,2001,2071,2161,2292,2417,2448,2593,2682,2727,2756,2774,2812,2934,2975,3157,3173,3200,3236,3271,3279,3296,3313,3326,3335,3414,3556,3729,3781,3783,3946,3979,4003,4049,4142,4166,4270,4288,4370,4402,4435,4600,4803,4862,4886,4938,4979",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0x732685ea7138bc94cdbb2649ac4c9c619479199f,72,"83,267,276,662,739,743,769,770,966,969,980,1130,1185,1233,1307,1412,1536,1610,1796,1818,1861,2032,2086,2128,2204,2214,2233,2243,2383,2416,2443,2532,2560,2605,2609,2614,2666,2697,2804,2915,3041,3076,3277,3526,3577,3636,3687,3690,3725,3829,3841,3994,4016,4019,4021,4030,4247,4253,4325,4338,4407,4421,4431,4514,4519,4784,4820,4821,4876,4922,4924,4942",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0xcb0f0ea8a5bbc0f554d4f05ca208dfed0d638c2f,50,"141,179,255,279,294,430,493,508,580,1054,1173,1361,1465,1518,1523,1579,1702,1722,1822,1873,1915,2117,2188,2217,2250,2480,2581,2595,2599,2677,2767,3053,3282,3339,3353,3466,3799,3808,3823,3833,3868,3902,3959,4010,4179,4404,4705,4767,4931,4936",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0x92e148fd89519030397f839948a6af6e22dbf4a3,45,"169,388,542,572,618,852,1272,1386,1585,1657,1984,2090,2276,2389,2399,2425,2633,2644,2695,2738,2862,3003,3075,3294,3352,3354,3424,3559,3683,3775,3809,3864,3913,3919,3921,3993,4114,4244,4286,4345,4415,4536,4703,4833,4883",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
0xd2a730cbe4d989373e16ca15a2a0cf72107492ae,44,"243,482,568,660,763,952,1161,1519,1598,1769,1826,1892,2125,2180,2227,2271,2564,2617,2692,2735,2741,2801,2852,2873,2969,3158,3405,3440,3495,3694,3818,3999,4203,4315,4348,4501,4568,4615,4695,4779,4791,4945,4946,4977",0x8743b1cec8939e456f05194503fbb6500a3ba67d,62514232,2026-08-07T00:16:08Z
