wallet,nft_count,token_ids,contract,snapshot_time
0xf623cf348d4cfc97134a16455be3b9f16bb4bf7d,5,"4,26,18,57,35",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x77d7655c7c0557ccd22ab8d66ccc4863de60eb9f,4,"30,43,14,5",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x5cecf04c8147bbc4c62c825478068eefd3a53d1e,4,"37,48,20,45",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xd811001189ca7528f819e67efcef2a23d186d778,3,"19,32,40",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xbb491217af9f4e3b9e9f27e1b49ff5c6663e27c5,3,"11,12,28",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xaac1a6ab538ea45320dc65ecd6347deef3ae61a6,3,"1,52,61",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x0e99aed928c99c6cf6868128f15c57cd4a3474a2,3,"24,50,38",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x0c5be1ca8bbb2793afd9baef49308495eb7062bb,3,"0,31,36",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xf982f996560b21a63bbbe16c070b0e09f7edd0dd,2,"29,54",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x90c4bf2bd887e0abc40fb3f1fad0d294ebb18146,2,"8,10",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x420186e2f62664cc7255e995439882b609b28011,2,"46,47",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x08aea204d289ea5963775ac2f183c54b1b9f66e2,2,"3,23",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0x047a5d18e93899f0aa60713657f9d406af6125e5,2,"41,16",0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xfa9e981bf2e325a4f69ad78f228ce5f9547e9541,1,15,0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
0xf3745d58f6c33bf3e5adfaa1f77b79a5375b2689,1,22,0x491c67db959bda22e1061b43693ea3699675f080,2026-08-07T14:22:38Z
