wallet,nft_count
0x216e0ea7412769fcfc0a0dfefdf8a4c27248e9d9,4197
0xf27b9704a15ffe47818fd48660d952235e9c39af,227
0x40640b6df1a05a5c237e507e3cc791104b4c3422,167
0x19e3911d3eda0fd53724b6a22571856d91e1d73c,90
0xab51cda13bb36ab2155f8b650d712a4c7b93e45b,88
0xedd5e266ea99e5808f8c3c67b82b8a08c20411e9,79
0x71f6fbf51e3ebc2ad631c6c2e4440cba9dd46fae,76
0x772e4dd9509e20aa8a575023b5b6e33a114db74a,70
0x5051aed4b4c910df04a53bc0a1e38d8fd34c22d1,52
0x325b3f9a86eb1d9d8c098c8d28865d5c801d5b26,42
0xe5079ac69a92b12499a589185f0e1abd912698a0,36
0xb9526c2a09ad4bf7aaf5dfeed08cdd21afd477d0,30
0x3e79c89f479824bc24b9ead73eb8c55f322fe963,30
0x1b6ced2c1be7e3c1f188f8843a7b4b538fdae26a,30
0x11b586c344bb99db92908039f2d3621c6cf3b194,25
0x7e3725ab300dce7f6b47183232e44e538dfdacaa,20
0x56ce632320b8af872b9ef5b94c4a483a63f1ee26,18
0x81de381fa4b91bc6e36be3e31483fefaba6b1b0a,14
0xef0bd6014064bf7ffabda9a3368bfc7730ea8dd8,12
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,11
0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,10
0xe747e5f8691257141b1f4568e65a6fa122ecc299,9
0x0b9aef92eb2c8166d2afbcbee2df773f8ea04951,9
0xe046e97b43bfe688c739012b12606a8963418610,8
0x6193aac56cc4121c1c0558ee548b6e7bb02d7660,8
0xcafaa76933d79a5c7500b49f63388898503347fe,7
0x1f7d01cf6506573f695f30bb00bf7c1e98319e74,6
0x010969b5f9219c70f56ab4568d79b384a4558b94,6
0x1c12966f0b495dc83509a3c45fdef473d0c1d05e,5
0xd25a8a185ba2c582c4d3d38d2182852fdcaf84a1,4
0xd9941edfe4549bdd784d6c65e527a9c2e8b43bfa,3
0x81d6942df41563e0617c406b6e2f1d5d88e3d4e2,3
0x64f27d03cbf3425a971bac625dc828a2e1fa82a5,3
0x5bdc97ef6db3f69ba6e4d73550aa57e54a966713,3
0x32c6a0b3c80c90971ea6413383f3b759a48e3684,3
0x0f8072887c9542c557bc6e015dbff3c05b71f543,3
0x072d1485c8fee948ff35550ba36f9072b75ba029,3
0x0608037fd563fa0d159adb934ffc9035df56fb88,3
0xabe465c13ebd03911087bb32a32cc75499d8103c,2
0x9e407dab6b2faed029e2a6d32234be5f5ff58c22,2
0x952cd0bb2f25ef78a8313b59087f99f75636021a,2
0x809cbfa0a0436ee63acd14673d99c075925020dd,2
0x4e90942ec029f6271c6db38c641c994984cad433,2
0x3a5ff107f4a0159c29bb1397951f3a9268414d37,2
0x2ee9d92adc6b890b29e94a906268918a16a037b6,2
0x292019b0c8481d41da5eeb5c2660be5aac8ede8f,2
0x06b57d9e43cef0641e4d23453845992397917ad0,2
0x01c4f00820795f2c8d7f14f648aee4599930d66c,2
0x004db9514506c4f9c842036cbc05ef9a6be21c25,2
0xff118bf7e84b4a59ee13326039524576094c6d7a,1
0xf5e8cf9d825d5af478b00d396b80695e5701d881,1
0xf24bf38435ff7152c7210617faa6d706e8e58678,1
0xee116bfbb689da0fbb11ec79310de7e86c544353,1
0xe6b10da14fdcd2e163eafa68d02fd3369e527657,1
0xde43b08896026b2dff04fa11ebad5d966363061c,1
0xd56c38de5afec2a2cb23ee01908aca645e5fec37,1
0xb6c10236f8babb877b48bb2bd27bba8c3e1c7d8d,1
0xafefe35bd586691e1ca8556721372729811eb2bd,1
0xad6d815b74deae3a0b6de5d6d00a117ab9e2f7a7,1
0xacbf5ae388e6a7c342d1dbaf2f15cf29407b79b4,1
0xa74b670d1e62268958a5557cbdf994971d2a68bf,1
0xa5f76536343aeb0b183f2ac76d114d0b7a4c1802,1
0xa36f7566e457a9d9a9b1fb6b392ac62bdca8da49,1
0x838f2e76cd04e94638af3d6237f1c1799ea839f4,1
0x758bc9d960bbae056f0dabe9f48d907b487e4bf7,1
0x64739640e38f55e6bf1e72a3b10405395f71fb45,1
0x60ecffcd16b527bf77e6c6d2b02bc5b127123dbe,1
0x5fdebf92418222aa2233557034b43b5fba137efb,1
0x598e30b7996617a1bb4a7210d53e2d73a6e2a8e3,1
0x4c0f89ce9c9a9d95c1e0f6ded8fd77c02d4e85f7,1
0x44c0551deb02f75189c7c4075b58212cfb108f2d,1
0x407ad0f23f5ded868c5d10569bd73b06261f5556,1
0x3680e6d06a0a4a090c2ba933252fa20c2ab3bf48,1
0x308ff48fc1542469e8493237b8c5613c2a49f706,1
0x1fa26cbb26a254b728e81007e39ffe9a9a93df14,1
0x1c8a7198231a9a4371954fbb0036455acf13b500,1
0x0c0ffaaf6378cc0b4118f2752209a206a046d56e,1
