wallet,nft_count
0xa49bfc7bf1946f0e2cdb516f517dcb1df97d1ff2,34
0x8e9fc3f8c82912fa97b989c4908500b2cec3cb5c,34
0xf10275ea5e44ce84fef680df70eab3216c095108,33
0xb5ca724cf2680c24226fad2a37b71cb342373b7e,33
0xab4cac7962cbce20c0e8f24deb581ecbcde9ed09,33
0x74ff926d8dc46984b09c9c11247bed8dc2b60b73,22
0x308ff48fc1542469e8493237b8c5613c2a49f706,16
0xdb617a3167462c66f3950c8715a65c774403d5f4,15
0x538b0d2510924964eb172fea8dc777a575f9da5e,11
0x0c1bb6646f84a50390ee2544b8737f352b9ed466,11
0x0703159301574cce1ff8a16f814c5d2fee93c057,10
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,7
0x95e343297bf06616a43511a345294f7fac2ce7b9,6
0x772e4dd9509e20aa8a575023b5b6e33a114db74a,6
0xe716a5b43290a3ce5252206d7222c64115d36d56,5
0xc62c58c1aedc4715f75a423907953eb3029d7023,5
0xc0d14075b1353e84b90410c2728c5bf7d5926a60,5
0x615d544bc9a773201ff2f6f3e91b099f2b1a6a52,5
0x425587e5beee6dab96b0546332f62c8e79a6b4cb,5
0x2bcf43e7ade6807e57bc7027b03e132c97a7eb7e,5
0x0608037fd563fa0d159adb934ffc9035df56fb88,5
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,4
0x6639ee4f3fc6886f81ab81badf6898bdd4004890,4
0x60e93708a0dd161aab47d4b21d9fa03c9ad7ba7d,4
0x842f464328fa2c0a8e5021bd2223202ace819998,3
0x67396df5f56aa995b871262f04a863d7043cb8ea,3
0xeb81605204af3d1e7223e77d799a474e7479fd11,2
0xc91c156fa3592c34e49cbaed1bbe519ced8d1790,2
0xc7108905eea4557aa06d64edba67b3aad667211c,2
0xc4a8431aa6e67e6cf02a80a092e80ad5908a6d48,2
0xb93aaa3daa6bb1d48476a10c67cdf74e72c57e7e,2
0xa668b7357a66ab798050c328cd80c8443e09f5da,2
0x902774695d42fe13aae21721c408fc0c1f15cf73,2
0x89bf1e16f85c33bf10f65b2a560eb1d6c7ca0423,2
0x52a72e835ce5bb3d3416e851970e8b367b74522a,2
0x41b0c6d8d1df404ead18376bf7536228bbd2c867,2
0x30350bfd4499b5f2cd65aaf524f25c787be581ef,2
0x2ccd1ab1e0f36620e62ac6035c015287ec514a7b,2
0x147043e7738fc08ba3415ca13b0cb0312e8934bb,2
0x0327e40333e84220005588b6e3ef0013c1dfaafc,2
0xf82665dd4261226d0a480e845cd45bf042b56c03,1
0xc54f94abeaf31a22ffca0da4172f8fbd60571ead,1
0xa4bbe08c02050da849a079ef2801f7af3274babb,1
0x64cb49b5a80516674c68cdcd26156778826990f5,1
0x567e14b0fe509457b493c62d2bc4d10353e4378d,1
0x53270d44eee663e509f0b715525703b12c353e30,1
0x46a1b3c045a02e9122fd162fed26aab111248bbb,1
0x42d876fa174aff9404bb85f9221b3ef46b97f773,1
0x2a839456d1bfdb3ef3a47092cdf4e6e441dd2851,1
0x004db9514506c4f9c842036cbc05ef9a6be21c25,1
