wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0x6b7f5b89fe258edddcf493bdbce8d2cfbf410a12,234,"24,139,152,251,300,458,491,513,608,654,680,727,735,747,762,771,823,962,1000,1001,1006,1043,1128,1132,1230,1274,1297,1316,1333,1356,1379,1469,1537,1540,1667,1681,1709,1779,1796,1820,1824,1829,1859,1874,2030,2057,2088,2094,2110,2224,2284,2293,2329,2332,2413,2437,2518,2525,2558,2573,2633,2817,2832,2852,2857,2861,2977,2986,3033,3165,3166,3180,3189,3227,3244,3419,3473,3570,3602,3663,3686,3697,3787,3793,3828,3889,3909,3981,4127,4146,4160,4218,4282,4307,4328,4375,4472,4475,4653,4689,4693,4708,4728,4786,4990,5046,5127,5143,5176,5193,5196,5198,5298,5332,5333,5392,5393,5403,5515,5531,5610,5675,5730,5854,5863,5868,5887,5900,5907,5926,5955,5968,6039,6048,6062,6140,6167,6169,6183,6262,6267,6288,6305,6309,6321,6406,6407,6424,6528,6599,6616,6662,6715,6725,6786,6793,6850,6966,7023,7050,7083,7197,7245,7267,7281,7368,7371,7409,7469,7472,7548,7560,7563,7670,7698,7711,7827,7884,7891,7899,7950,7988,8009,8115,8118,8135,8176,8193,8229,8253,8316,8337,8363,8492,8538,8623,8684,8687,8718,8737,8745,8769,8786,8865,8888,8900,8909,8937,8995,9019,9031,9033,9077,9201,9202,9247,9266,9269,9345,9367,9373,9389,9394,9408,9487,9635,9659,9675,9734,9759,9811,9813,9826,9827",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x81de381fa4b91bc6e36be3e31483fefaba6b1b0a,61,"200,230,320,376,975,1366,1891,1966,1994,2121,2512,2559,2798,2819,3441,3544,3719,4461,4493,5426,5455,5456,5651,5735,5797,5845,5851,5857,6022,6170,6316,6329,6506,6542,6545,6752,6829,6889,6990,7010,7202,7641,7889,8407,8415,8431,8465,8716,8770,8836,8878,9000,9064,9138,9315,9430,9434,9676,9722,9740,9741",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0xf265f377b38b3cd8c744aa6e863f62a1b51e6523,42,"179,255,569,630,732,896,1161,1171,1453,1724,2176,2647,2763,2789,2844,2872,3201,3385,3837,4272,4829,5181,5644,5741,5858,5944,5956,6627,6702,7100,7195,7396,7471,7491,7855,8246,8559,8877,9205,9850,9895,9957",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x627229bf955cc9096f26fdba401f9eba4eb8a817,34,"149,232,708,763,776,801,990,1023,1085,1889,2377,2469,2742,2950,3450,3547,3566,3921,4131,4208,4721,5202,5541,6072,7032,7278,8066,8282,8421,8502,8998,9178,9414,9476",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x600e21a92ae32f0c0d7ba853355a92d587673c34,27,"399,409,636,918,1172,1359,1989,2157,2327,2486,2823,2833,4557,4775,4929,5339,5752,7098,7206,7498,8554,8734,8901,9112,9363,9365,9455",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x618f0e3b237de114fadf18a0cab1a835b0bc03e1,22,"1468,2063,2207,2721,3162,3341,3396,3613,3722,4409,4606,4644,4661,5462,5766,6824,7018,7935,7938,8704,9095,9273",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x83dde273934fb0329c21eae584c1818f0b32d42d,19,"629,675,1058,1331,1423,3101,3946,4123,5082,5093,5575,6508,6631,7214,7400,7458,7882,9332,9542",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x32fd33516c970aac02f5434aacec1458bbc00581,17,"23,821,1836,2695,2935,3442,4252,4374,4467,4527,5141,5165,6197,8052,8408,8601,8954",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0xd7f26e6a260ea8b9c1e78e91eca72a71967cd8ed,13,"2552,2574,2697,3258,3969,5486,6212,7611,7679,8215,8536,9348,9790",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
0x7423584e76d2b6a2bc316c8ceee7491ebca0ece4,12,"1880,2004,3504,5314,6007,7339,7575,7586,7881,8218,8303,8673",0x01d675a61d94aea570007374d85301d6619d9e6e,62514232,2026-08-07T00:16:08Z
