wallet,nft_count,token_ids,contract,snapshot_block,snapshot_time
0xf27b9704a15ffe47818fd48660d952235e9c39af,500,"0,9,35,62,99,100,108,113,114,116,123,125,128,129,143,147,148,153,156,162,163,169,170,174,175,185,188,189,199,203,204,207,208,226,227,235,236,247,248,253,254,255,256,257,258,259,261,262,270,277,278,282,285,286,289,299,307,308,315,316,319,320,325,326,327,328,329,332,337,341,342,347,349,350,357,358,360,377,378,388,394,401,402,404,405,406,413,414,415,416,427,428,431,432,437,438,441,442,453,454,455,456,457,458,460,461,462,464,471,472,477,478,479,481,482,483,484,485,488,489,490,492,495,496,497,498,499,500,503,504,505,506,507,508,513,514,519,521,522,523,525,526,527,528,529,530,534,537,540,541,545,546,547,548,549,550,551,557,558,560,566,567,582,597,598,601,602,605,606,613,614,615,616,621,622,635,643,645,646,649,650,651,652,653,655,656,657,658,659,660,664,667,668,669,670,672,677,678,680,681,685,686,687,688,692,693,694,701,702,703,704,710,711,713,714,715,717,725,726,727,734,735,736,747,755,765,777,778,781,790,791,794,795,806,807,810,811,813,815,816,817,819,821,822,827,830,831,832,833,834,835,836,837,839,840,841,850,851,858,859,860,862,863,866,870,872,878,883,887,915,916,917,920,921,931,936,937,946,947,965,966,970,974,987,992,993,1009,1016,1019,1020,1021,1032,1037,1038,1039,1040,1041,1043,1044,1053,1058,1059,1060,1064,1072,1076,1082,1099,1100,1102,1108,1123,1124,1129,1130,1134,1139,1140,1150,1153,1155,1156,1162,1163,1174,1178,1183,1185,1186,1190,1210,1219,1230,1247,1253,1254,1256,1259,1260,1265,1266,1271,1280,1304,1305,1317,1357,1358,1363,1370,1375,1376,1391,1396,1400,1426,1427,1432,1447,1516,1517,1518,1519,1520,1526,1527,1534,1535,1541,1554,1555,1579,1590,1598,1605,1606,1612,1613,1621,1625,1628,1636,1639,1640,1643,1645,1646,1652,1669,1679,1713,1716,1741,1742,1744,1749,1750,1751,1755,1759,1760,1762,1777,1778,1782,1789,1790,1793,1794,1797,1829,1830,1837,1838,1849,1852,1853,1854,1855,1868,1934,1938,1939,1940,1941,1947,1958,1959,1968,1974,1975,1976,1977,1980,1981,1993,1995,2008,2009,2010,2026,2027,2030,2043,2062,2070,2071,2080,2104,2105,2123,2124,2129,2130,2132,2133,2135,2143,2145,2146,2147,2148,2149,2176,2177,2180,2181,2184,2215,2216,2217,2253,2254,2255,2256,2257,2258,2259,2260,2261,2266,2267,2268,2272,2301,2303,2304,2306,2311,2312,2314,2319,2321,2322,2323,2326,2332,2337,2338,2407",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0xe6a7491d8e1b340418d18867376c946706b01c55,161,"26,149,154,172,182,183,195,200,269,313,321,331,359,362,365,375,376,424,480,486,487,491,561,562,563,564,565,568,574,575,578,579,580,581,583,585,586,587,588,589,592,593,628,689,690,709,720,721,722,723,732,733,737,738,741,748,752,763,764,789,792,793,796,797,798,799,802,804,805,818,828,829,919,1027,1291,1292,1298,1299,1300,1309,1312,1315,1316,1324,1325,1356,1361,1373,1384,1395,1397,1399,1415,1448,1449,1515,1576,1588,1589,1600,1618,1619,1635,1676,1677,1688,1697,1698,1740,1752,2126,2127,2128,2131,2134,2136,2137,2138,2139,2178,2252,2302,2305,2307,2308,2309,2325,2329,2334,2351,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2369,2370,2371,2372,2373,2374,2375,2376,2377,2378,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0xea7a49803f06022e58b48c3b40c24dae442bc9d6,103,"783,784,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0x4de5e859c1004f8e6ac00b2decb4b5124ee86afd,77,"1,2,3,6,8,61,81,82,87,95,96,109,110,115,119,120,127,136,137,138,141,144,193,202,209,221,222,275,293,301,302,309,310,345,356,384,385,386,390,391,392,393,421,447,448,459,619,644,666,775,776,848,849,852,853,856,857,864,865,868,869,874,875,880,881,890,891,892,893,894,895,942,943,969,1591,1592,1599",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0xa034f448761c5422ff8cbc2978d6bb2f26698ede,60,"36,77,279,280,281,314,339,361,366,371,387,569,584,590,591,594,595,596,599,600,603,604,607,608,611,612,641,1087,1088,1103,1104,1117,1118,1131,1132,1161,1318,1319,1327,1328,1345,1346,1359,1360,1368,1369,1631,1654,1667,1668,1678,1821,1822,1840,1858,1859,1866,1867,1874,1875",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0x81de381fa4b91bc6e36be3e31483fefaba6b1b0a,44,"150,155,176,179,294,524,706,742,749,750,751,814,886,1034,1042,1080,1287,1308,1326,1355,1362,1377,1383,1392,1402,1414,1572,1575,1580,1581,1607,1651,1653,1718,1719,1798,1925,1956,2042,2095,2102,2122,2125,2141",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0xc1ce096e968b98be8861aff0b7b3772ac7d37d52,43,"130,139,184,192,201,355,370,515,671,679,682,712,716,724,729,801,823,838,844,918,973,1008,1018,1293,1303,1398,1634,1819,1839,2081,2179,2182,2218,2270,2273,2274,2275,2276,2277,2278,2279,2327,2406",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0x0d6e78fdf9ebf6da2d2f1f2bb93a1edd36d12101,38,"1067,1068,1083,1084,1119,1120,1137,1138,1165,1166,1175,1176,1191,1192,1586,1587,1593,1594,1603,1604,1616,1617,1892,1893,1900,1901,1902,1903,1936,1937,1948,1949,1962,1963,1978,1979,1996,1997",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0xf120a19d1460bcff82e1670842e9dfea9101eed8,33,"165,166,177,509,739,740,745,746,756,759,760,766,1195,1196,1209,1263,1264,1322,1323,1349,1350,1364,1365,1385,1386,1530,1531,1620,1781,1969,1989,1992,2012",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
0x198610caab7fae51660a87d3345bd579d56b0e2d,31,"213,214,237,238,239,240,419,420,423,425,426,429,430,433,434,435,436,439,440,629,630,631,632,633,634,636,637,638,639,640,642",0x63309a2b8f507f667da75c24013a2e18904cc19d,62514232,2026-08-07T00:16:08Z
